9100,フォーバル(8275),2024/08/01 08:06,8275,(木),フォーバル9 　電子ﾏﾈ　@@ 2倍
6800,カッパ・クリエイト(7421),2024/08/01 08:06,7421,(木),カッパ9 @@ 2倍
6800,リテールパートナーズ(8167),2024/08/01 08:06,8167,(木),リテールパートナー8　@@ ｸｵ
6900,カーブスホールディングス(7085),2024/08/01 08:07,7085,(木),カープス8 @@
11500,ビックカメラ(3048),2024/08/01 08:07,3048,(木),ビックカメラ8 @@
0,イートアンドホールディングス(2882),2024/08/01 08:07,2882,(木),イートアンド8 @@
0,コシダカホールディングス(2157),2024/08/01 08:07,2157,(木),コシダカ8 　@@
0,平和堂(8276),2024/08/01 08:08,8276,(木),平和堂8 20権 2倍 @@
5000,高島屋(8233),2024/08/01 08:08,8233,(木),高島屋8
3800,ハイデイ日高(7611),2024/08/01 08:08,7611,(木),ハイディ日高8 1000 @@
0,ＳＲＳホールディングス(8163),2024/08/01 08:08,8163,(木),SRS9 1000 @@
8100,早稲田アカデミー(4718),2024/08/01 08:09,4718,(木),早稲田アカ9  @@
0,ルネサンス(2378),2024/08/01 08:09,2378,(木),ルネサンス9  500 @@ 後回し
0,グルメ杵屋(9850),2024/08/01 08:09,9850,(木),杵屋9　　長距離 @@
0,イオンファンタジー(4343),2024/08/01 08:09,4343,(木),イオンファン8 300 @@ 絶好
0,サガミホールディングス(9900),2024/08/01 08:10,9900,(木),サガミ9　1000  @@
0,アークランズ(9842),2024/08/01 08:10,9842,(木),ｱｰｸﾗﾝｽﾞ8 @@
7700,セブン＆アイ・ホールディングス(3382),2024/08/01 08:10,3382,(木),セブン8 @@
4000,壱番屋(7630),2024/08/01 08:10,7630,(木),壱番屋8 @@
7600,明光ネットワークジャパン(4668),2024/08/01 08:11,4668,(木),明光8 @@ 注視 ｸｵ
0,西松屋チェーン(7545),2024/08/01 09:52,7545,(木),西松屋8 20権 500も可 @@  条件無し 3倍 横取り　☆
0,クリエイト・レストランツホールディングス(3387),2024/08/01 09:53,3387,(木),クレリス8 200 @@ 2倍 ★
3600,吉野家ホールディングス(9861),2024/08/01 09:53,9861,(木),吉野家8 @@ 後回し
0,コロワイド(7616),2024/08/01 09:53,7616,(木),コロワイド9  500 @@　2倍
0,ユナイテッド・スーパーマーケット・ホールディングス(3222),2024/08/01 09:53,3222,(木),ﾕﾅｲﾃｯﾄﾞ･ｽｰﾊﾟｰﾏｰｹｯﾄ･ﾎｰﾙ8 @@
7400,フォーバル(8275),2024/08/01 09:54,8275,(木),フォーバル9 　電子ﾏﾈ　@@ 2倍
2900,カッパ・クリエイト(7421),2024/08/01 09:54,7421,(木),カッパ9 @@ 2倍
2500,リテールパートナーズ(8167),2024/08/01 09:54,8167,(木),リテールパートナー8　@@ ｸｵ
4700,カーブスホールディングス(7085),2024/08/01 09:54,7085,(木),カープス8 @@
1900,ビックカメラ(3048),2024/08/01 09:54,3048,(木),ビックカメラ8 @@
0,イートアンドホールディングス(2882),2024/08/01 09:55,2882,(木),イートアンド8 @@
0,コシダカホールディングス(2157),2024/08/01 09:55,2157,(木),コシダカ8 　@@
0,平和堂(8276),2024/08/01 09:55,8276,(木),平和堂8 20権 2倍 @@
5000,高島屋(8233),2024/08/01 09:55,8233,(木),高島屋8
3000,ハイデイ日高(7611),2024/08/01 09:56,7611,(木),ハイディ日高8 1000 @@
0,ＳＲＳホールディングス(8163),2024/08/01 09:56,8163,(木),SRS9 1000 @@
3500,早稲田アカデミー(4718),2024/08/01 09:56,4718,(木),早稲田アカ9  @@
0,ルネサンス(2378),2024/08/01 09:56,2378,(木),ルネサンス9  500 @@ 後回し
0,グルメ杵屋(9850),2024/08/01 09:57,9850,(木),杵屋9　　長距離 @@
0,イオンファンタジー(4343),2024/08/01 09:57,4343,(木),イオンファン8 300 @@ 絶好
0,サガミホールディングス(9900),2024/08/01 09:57,9900,(木),サガミ9　1000  @@
0,アークランズ(9842),2024/08/01 09:57,9842,(木),ｱｰｸﾗﾝｽﾞ8 @@
4400,セブン＆アイ・ホールディングス(3382),2024/08/01 09:58,3382,(木),セブン8 @@
7200,壱番屋(7630),2024/08/01 09:58,7630,(木),壱番屋8 @@
5500,明光ネットワークジャパン(4668),2024/08/01 09:58,4668,(木),明光8 @@ 注視 ｸｵ
0,西松屋チェーン(7545),2024/08/01 12:05,7545,(木),西松屋8 20権 500も可 @@  条件無し 3倍 横取り
2900,クリエイト・レストランツホールディングス(3387),2024/08/01 12:05,3387,(木),クレリス8 200 @@ 3倍 ★
2500,コロワイド(7616),2024/08/01 12:05,7616,(木),コロワイド9  500 @@　2倍 ☆
0,ユナイテッド・スーパーマーケット・ホールディングス(3222),2024/08/01 12:05,3222,(木),ﾕﾅｲﾃｯﾄﾞ･ｽｰﾊﾟｰﾏｰｹｯﾄ･ﾎｰﾙ8 @@ 後回し
3200,フォーバル(8275),2024/08/01 12:06,8275,(木),フォーバル9 　電子ﾏﾈ　@@ 2倍
2800,カッパ・クリエイト(7421),2024/08/01 12:06,7421,(木),カッパ9 @@ 2倍
2100,リテールパートナーズ(8167),2024/08/01 12:06,8167,(木),リテールパートナー8　@@ ｸｵ
4400,カーブスホールディングス(7085),2024/08/01 12:06,7085,(木),カープス8 @@
2700,ビックカメラ(3048),2024/08/01 12:07,3048,(木),ビックカメラ8 @@
0,イートアンドホールディングス(2882),2024/08/01 12:07,2882,(木),イートアンド8 @@
0,コシダカホールディングス(2157),2024/08/01 12:07,2157,(木),コシダカ8 　@@
3800,吉野家ホールディングス(9861),2024/08/01 12:07,9861,(木),吉野家8 @@ 後回し
0,平和堂(8276),2024/08/01 12:08,8276,(木),平和堂8 20権 2倍 @@
4100,ハイデイ日高(7611),2024/08/01 12:08,7611,(木),ハイディ日高8 1000 @@
4500,エアトリ(6191),2024/08/01 12:08,6191,(木),エアトリ9 700 プレ優 @@
0,ＳＲＳホールディングス(8163),2024/08/01 12:08,8163,(木),SRS9 1000 @@
2800,早稲田アカデミー(4718),2024/08/01 12:09,4718,(木),早稲田アカ9  @@
0,ルネサンス(2378),2024/08/01 12:09,2378,(木),ルネサンス9  500 @@ 後回し
0,グルメ杵屋(9850),2024/08/01 12:09,9850,(木),杵屋9　　長距離 @@
0,イオンファンタジー(4343),2024/08/01 12:09,4343,(木),イオンファン8 300 @@ 絶好
0,サガミホールディングス(9900),2024/08/01 12:10,9900,(木),サガミ9　1000  @@
0,アークランズ(9842),2024/08/01 12:10,9842,(木),ｱｰｸﾗﾝｽﾞ8 @@
2200,セブン＆アイ・ホールディングス(3382),2024/08/01 12:10,3382,(木),セブン8 @@
3500,壱番屋(7630),2024/08/01 12:10,7630,(木),壱番屋8 @@
6100,明光ネットワークジャパン(4668),2024/08/01 12:10,4668,(木),明光8 @@ 注視 ｸｵ
4700,西松屋チェーン(7545),2024/08/01 16:06,7545,(木),西松屋8 20権 500も可 @@  条件無し 3倍 横取り
266800,クリエイト・レストランツホールディングス(3387),2024/08/01 16:06,3387,(木),クレリス8 200 @@ 3倍 ★
