銘柄コード,銘柄名,信用区分,新規売建可能数量(在庫株数量)(株(口)),プレミアム料(1株あたり)
1543,純パラジウム上場信託（現物国内保管型）,デイトレ,201,77.00
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（Ｒ）（為替ヘッジなし）連動型上場投信,デイトレ,478740,0.00
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,デイトレ,252,0.00
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,デイトレ,1792,0.00
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,デイトレ,4557,0.00
1551,東証スタンダードＴＯＰ２０ＥＴＦ,デイトレ,30,9.10
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,デイトレ,2613,0.00
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,デイトレ,2956,0.00
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,デイトレ,240,0.00
155A,情報戦略テクノロジー,デイトレ,6800,0.00
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場,デイトレ,544,0.00
1563,東証グロース・コアＥＴＦ,デイトレ,708,0.00
1566,上場インデックスファンド新興国債券,デイトレ,213,0.00
1568,ＴＯＰＩＸブル２倍上場投信,デイトレ,81010,0.00
1569,ＴＯＰＩＸベア上場投信,デイトレ,570,0.00
156A,マテリアルグループ,デイトレ,700,0.00
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,デイトレ,60222,0.00
1572,中国Ｈ株ブル２倍上場投信,デイトレ,50,7.80
1573,中国Ｈ株ベア上場投信,デイトレ,110,8.80
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,デイトレ,440,0.00
1578,上場インデックスファンド日経２２５（ミニ）,デイトレ,35,0.00
