銘柄コード,銘柄名,信用区分,新規売建可能数量(在庫株数量)(株(口)),プレミアム料(1株あたり)
2768,双日,デイトレ,60400,0.00
2768,双日,長期,612000,
2769,ヴィレッジヴァンガードコーポレーション,デイトレ,4500,1.30
2778,パレモ・ホールディングス,デイトレ,37600,1.15
2780,コメ兵ホールディングス,デイトレ,38000,4.00
2780,コメ兵ホールディングス,長期,6200,0.36
2782,セリア,デイトレ,5700,0.00
2782,セリア,長期,279200,0.39
2784,アルフレッサ　ホールディングス,デイトレ,400,0.00
2784,アルフレッサ　ホールディングス,長期,1096400,
2788,アップルインターナショナル,デイトレ,900,0.90
2789,カルラ,デイトレ,1800,0.90
2790,ナフコ,デイトレ,1400,2.60
2791,大黒天物産,デイトレ,3900,0.00
2791,大黒天物産,長期,900,0.31
2792,ハニーズホールディングス,デイトレ,14100,0.00
2795,日本プリメックス,デイトレ,900,0.00
2796,ファーマライズホールディングス,デイトレ,3700,0.00
2798,ワイズテーブルコーポレーション,デイトレ,2700,2.70
2801,キッコーマン,デイトレ,19100,0.00
2801,キッコーマン,長期,1960500,
2802,味の素,デイトレ,54400,0.00
2802,味の素,長期,127500,
2804,ブルドックソース,デイトレ,1100,0.00
2804,ブルドックソース,長期,1100,
2805,ヱスビー食品,デイトレ,500,9.55
2806,ユタカフーズ,デイトレ,1000,0.00
2809,キユーピー,デイトレ,8100,0.00
2809,キユーピー,長期,521000,
280A,ＴＭＨ,デイトレ,3600,1.53
2810,ハウス食品グループ本社,デイトレ,5900,0.00
2810,ハウス食品グループ本社,長期,49800,
2811,カゴメ,デイトレ,4000,0.00
2811,カゴメ,長期,176700,
2813,和弘食品,デイトレ,300,5.13
2815,アリアケジャパン,デイトレ,8400,0.00
2815,アリアケジャパン,長期,150100,
2816,ダイショー,デイトレ,2200,0.00
2818,ピエトロ,デイトレ,1800,0.00
2819,エバラ食品工業,デイトレ,900,0.00
281A,インフォメティス,デイトレ,14300,0.38
2820,やまみ,デイトレ,600,7.09
282A,グローバルＸ　半導体・トップ１０－日本株式　ＥＴＦ,デイトレ,13323,0.00
2831,はごろもフーズ,デイトレ,300,0.00
2839,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジあり）,デイトレ,18,6.00
2840,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジなし）,デイトレ,58,0.00
2842,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース,デイトレ,10,0.00
2854,グローバルＸ　テック・トップ２０－日本株式ＥＴＦ,デイトレ,1687,0.00
2856,ｉシェアーズ　米国債　３－７年　ＥＴＦ（為替ヘッジあり）,デイトレ,40,0.00
2858,グローバルＸ　日経２２５　カバード・コール　ＥＴＦ（プレミアム再投資型）,デイトレ,1,2.00
2859,ＮＥＸＴ　ＦＵＮＤＳ　ユーロ・ストックス５０指数（為替ヘッジあり）連動型上場投信,デイトレ,72,0.00
285A,キオクシアホールディングス,デイトレ,246100,0.00
285A,キオクシアホールディングス,長期,26600,
2860,ＮＥＸＴ　ＦＵＮＤＳ　ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信,デイトレ,11,0.00
2865,グローバルＸ　ＮＡＳＤＡＱ１００・カバード・コール　ＥＴＦ,デイトレ,89457,0.00
2866,グローバルＸ　米国優先証券　ＥＴＦ,デイトレ,917,0.00
2867,グローバルＸ　自動運転＆ＥＶ　ＥＴＦ,デイトレ,100,2.00
2868,グローバルＸ　Ｓ＆Ｐ５００・カバード・コール　ＥＴＦ,デイトレ,4040,0.00
2869,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００　レバレッジ,デイトレ,2108,0.00
286A,ユカリア,デイトレ,4900,0.00
2870,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００　ダブルインバース,デイトレ,251,0.00
2871,ニチレイ,デイトレ,9400,0.00
2871,ニチレイ,長期,24500,
2872,セイヒョー,デイトレ,900,0.90
2874,横浜冷凍,デイトレ,8500,0.00
2874,横浜冷凍,長期,60700,
2875,東洋水産,デイトレ,2000,0.00
2875,東洋水産,長期,303400,
2876,デルソーレ,デイトレ,1500,0.00
2877,日東ベスト,デイトレ,500,0.00
2882,イートアンドホールディングス,デイトレ,5000,0.00
2883,大冷,デイトレ,900,0.00
2884,ヨシムラ・フード・ホールディングス,デイトレ,17400,0.00
288A,ラクサス・テクノロジーズ,デイトレ,14200,0.38
2894,石井食品,デイトレ,5600,1.30
2897,日清食品ホールディングス,デイトレ,40100,0.00
2897,日清食品ホールディングス,長期,377400,
2901,ウェルディッシュ,デイトレ,12300,0.20
2902,太陽化学,デイトレ,900,0.00
2903,シノブフーズ,デイトレ,4900,0.90
2904,一正蒲鉾,デイトレ,2400,0.00
2907,あじかん,デイトレ,400,0.00
2908,フジッコ,デイトレ,400,0.00
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,デイトレ,37900,1.53
2910,ロック・フィールド,デイトレ,6900,0.00
2914,日本たばこ産業,デイトレ,80700,0.00
2914,日本たばこ産業,長期,516400,
2915,ケンコーマヨネーズ,デイトレ,3000,0.00
2915,ケンコーマヨネーズ,長期,18300,0.17
2917,大森屋,デイトレ,1400,0.90
2918,わらべや日洋ホールディングス,デイトレ,5300,0.00
2918,わらべや日洋ホールディングス,長期,19300,0.22
2922,なとり,デイトレ,3200,0.00
2923,サトウ食品,デイトレ,300,18.70
2924,イフジ産業,デイトレ,1400,0.00
2926,篠崎屋,デイトレ,4300,0.00
2927,ＡＦＣ－ＨＤアムスライフサイエンス,デイトレ,8600,1.30
2929,ファーマフーズ,デイトレ,35000,0.00
2929,ファーマフーズ,長期,3100,0.03
2930,北の達人コーポレーション,デイトレ,33800,0.00
2932,ＳＴＩフードホールディングス,デイトレ,2400,1.30
2933,紀文食品,デイトレ,12400,0.00
2934,ジェイフロンティア,デイトレ,3100,0.90
2935,ピックルスホールディングス,デイトレ,1100,1.30
2935,ピックルスホールディングス,長期,100,0.05
2936,ベースフード,デイトレ,12000,0.00
2937,サンクゼール,デイトレ,4000,0.00
2938,オカムラ食品工業,デイトレ,14200,0.00
2962,テクニスコ,デイトレ,4800,2.43
296A,令和アカウンティング・ホールディングス,デイトレ,2100,0.00
2971,エスコンジャパンリート投資法人,デイトレ,97,0.00
2971,エスコンジャパンリート投資法人,長期,400,9.00
2972,サンケイリアルエステート投資法人,デイトレ,372,1.00
2972,サンケイリアルエステート投資法人,長期,600,9.00
2975,スター・マイカ・ホールディングス,デイトレ,10700,0.00
2975,スター・マイカ・ホールディングス,長期,27600,0.11
2978,ツクルバ,デイトレ,6600,0.90
2979,ＳＯＳｉＬＡ物流リート投資法人,デイトレ,37,0.00
2979,ＳＯＳｉＬＡ物流リート投資法人,長期,1700,
297A,アルピコホールディングス,デイトレ,12400,0.90
2980,ＳＲＥホールディングス,デイトレ,73000,0.00
2980,ＳＲＥホールディングス,長期,1200,
2981,ランディックス,デイトレ,500,2.92
2982,ＡＤワークスグループ,デイトレ,42500,0.00
2983,アールプランナー,デイトレ,3600,1.30
2984,ヤマイチエステート,デイトレ,7300,0.00
2986,ＬＡホールディングス,デイトレ,21200,0.00
2989,東海道リート投資法人,デイトレ,47,85.00
298A,ＧＶＡ　ＴＥＣＨ,デイトレ,20800,1.30
2993,長栄,デイトレ,1200,1.80
2998,クリアル,デイトレ,7000,0.90
299A,クラシル,デイトレ,2900,0.00
3001,片倉工業,長期,28500,
3002,グンゼ,デイトレ,4500,0.00
3002,グンゼ,長期,47200,
3003,ヒューリック,デイトレ,59200,0.00
3003,ヒューリック,長期,1788800,
3020,アプライド,デイトレ,3900,6.04
3021,パシフィックネット,デイトレ,700,2.43
3024,クリエイト,デイトレ,400,0.90
3028,アルペン,デイトレ,9400,0.00
302A,ビースタイルホールディングス,デイトレ,1200,1.30
3030,ハブ,デイトレ,1400,0.90
3031,ラクーンホールディングス,デイトレ,9200,0.00
3032,ゴルフ・ドゥ,デイトレ,1900,0.00
3034,クオールホールディングス,デイトレ,7000,0.00
3035,ケイティケイ,デイトレ,1600,0.00
3036,アルコニックス,デイトレ,3900,0.00
3036,アルコニックス,長期,62600,
3038,神戸物産,デイトレ,34700,0.00
3038,神戸物産,長期,571300,
303A,ｖｉｓｕｍｏ,デイトレ,1800,0.90
3040,ソリトンシステムズ,デイトレ,5200,2.97
3040,ソリトンシステムズ,長期,1300,0.10
3041,ビューティカダンホールディングス,デイトレ,2400,0.00
3042,セキュアヴェイル,デイトレ,1200,0.28
3045,カワサキ,デイトレ,300,1.30
3046,ジンズホールディングス,デイトレ,8900,0.00
3048,ビックカメラ,デイトレ,42500,0.00
3048,ビックカメラ,長期,16600,1.40
3050,ＤＣＭホールディングス,デイトレ,5800,0.00
3050,ＤＣＭホールディングス,長期,383700,
3053,ペッパーフードサービス,デイトレ,307700,0.00
3054,ハイパー,デイトレ,残数量なし,0.90
3058,三洋堂ホールディングス,デイトレ,1200,0.00
3059,ヒラキ,デイトレ,1100,0.00
3063,ジェイグループホールディングス,デイトレ,10100,0.00
3064,ＭｏｎｏｔａＲＯ,デイトレ,44200,0.00
3064,ＭｏｎｏｔａＲＯ,長期,1555700,
3065,ライフフーズ,デイトレ,700,0.00
3066,ＪＢイレブン,デイトレ,4100,0.00
3067,東京一番フーズ,デイトレ,18900,0.00
3068,ＷＤＩ,デイトレ,2600,0.00
3069,ＪＦＬＡホールディングス,デイトレ,26700,0.00
3070,ジェリービーンズグループ,デイトレ,81800,0.00
3075,銚子丸,デイトレ,4700,0.90
3076,あい　ホールディングス,デイトレ,1900,0.00
3076,あい　ホールディングス,長期,178500,
3080,ジェーソン,デイトレ,1200,0.90
3082,きちりホールディングス,デイトレ,4000,0.00
3083,スターシーズ,デイトレ,14500,1.53
3086,Ｊ．フロント　リテイリング,長期,35200,
3087,ドトール・日レスホールディングス,デイトレ,3400,0.00
3087,ドトール・日レスホールディングス,長期,127600,0.45
3088,マツキヨココカラ＆カンパニー,デイトレ,17500,0.00
3088,マツキヨココカラ＆カンパニー,長期,1298100,
3091,ブロンコビリー,デイトレ,20800,1.80
3093,トレジャー・ファクトリー,デイトレ,117600,0.00
3096,オーシャンシステム,デイトレ,4500,1.44
3097,物語コーポレーション,デイトレ,8600,0.00
3097,物語コーポレーション,長期,114400,0.45
3099,三越伊勢丹ホールディングス,デイトレ,32500,0.00
3099,三越伊勢丹ホールディングス,長期,796100,
3101,東洋紡,デイトレ,20000,0.00
3101,東洋紡,長期,487800,
3104,富士紡ホールディングス,長期,94200,
3105,日清紡ホールディングス,デイトレ,10800,0.00
3105,日清紡ホールディングス,長期,992000,
3106,倉敷紡績,デイトレ,900,0.00
3106,倉敷紡績,長期,40600,
3107,ダイワボウホールディングス,デイトレ,500,0.00
3107,ダイワボウホールディングス,長期,614900,
3109,シキボウ,デイトレ,8100,0.00
3109,シキボウ,長期,1400,0.05
3110,日東紡績,デイトレ,98800,0.00
3111,オーミケンシ,デイトレ,5500,0.90
3116,トヨタ紡織,デイトレ,6600,0.00
3116,トヨタ紡織,長期,613200,
3123,サイボー,デイトレ,1700,1.30
3131,シンデン・ハイテックス,デイトレ,3500,5.88
3132,マクニカホールディングス,デイトレ,15300,0.00
3132,マクニカホールディングス,長期,823700,
3133,海帆,デイトレ,59200,0.61
3134,Ｈａｍｅｅ,デイトレ,2500,0.90
3135,マーケットエンタープライズ,デイトレ,600,1.62
3137,ファンデリー,デイトレ,1600,0.00
3138,富士山マガジンサービス,デイトレ,400,1.47
3139,ラクト・ジャパン,デイトレ,1800,0.00
313A,ｉシェアーズ　Ｓ＆Ｐ　５００　トップ　２０　ＥＴＦ,デイトレ,20,0.00
3140,ＢＲＵＮＯ,デイトレ,3000,0.00
3143,オーウイル,デイトレ,600,1.30
3148,クリエイトＳＤホールディングス,デイトレ,2900,0.00
3148,クリエイトＳＤホールディングス,長期,97800,
314A,ｉシェアーズ　ゴールド　ＥＴＦ,デイトレ,198370,0.00
3150,グリムス,デイトレ,4300,0.00
3150,グリムス,長期,13200,0.20
3151,バイタルケーエスケー・ホールディングス,デイトレ,4200,0.00
3151,バイタルケーエスケー・ホールディングス,長期,86000,0.07
3153,八洲電機,デイトレ,2800,3.90
3154,メディアスホールディングス,デイトレ,3700,0.00
3156,レスター,デイトレ,900,0.00
3156,レスター,長期,2500,
3157,ジオリーブグループ,デイトレ,400,0.90
3159,丸善ＣＨＩホールディングス,デイトレ,7000,0.00
315A,グローバルＸ　銀行　高配当－日本株式　ＥＴＦ,デイトレ,1865,0.00
3160,大光,デイトレ,4000,0.00
3161,アゼアス,デイトレ,4400,0.90
3166,ＯＣＨＩホールディングス,デイトレ,600,0.00
3167,ＴＯＫＡＩホールディングス,デイトレ,22700,0.00
3167,ＴＯＫＡＩホールディングス,長期,246800,
3168,ＭＥＲＦ,デイトレ,4000,0.00
3169,ミサワ,デイトレ,2800,0.90
316A,ｉＦｒｅｅＥＴＦ　ＦＡＮＧ＋,デイトレ,10392,0.00
3172,ティーライフ,デイトレ,1100,0.00
3173,Ｃｏｍｉｎｉｘ,デイトレ,1700,1.30
3174,ハピネス・アンド・ディ,デイトレ,1400,0.36
3175,エー・ピーホールディングス,デイトレ,10600,0.29
3176,三洋貿易,デイトレ,9900,0.00
3176,三洋貿易,長期,残数量なし,0.10
3178,チムニー,デイトレ,4100,0.00
3179,シュッピン,デイトレ,37000,1.30
3179,シュッピン,長期,2800,
3180,ビューティガレージ,デイトレ,6700,0.00
3182,オイシックス,デイトレ,1300,0.00
3183,ウイン・パートナーズ,デイトレ,600,0.00
3183,ウイン・パートナーズ,長期,2000,0.07
3185,夢展望,デイトレ,12800,1.30
3186,ネクステージ,デイトレ,10800,0.00
3186,ネクステージ,長期,900700,
3189,ＡＮＡＰホールディングス,デイトレ,34700,0.98
318A,ＶＩＸ短期先物指数ＥＴＦ,デイトレ,85280,1.30
3190,ホットマン,デイトレ,900,1.30
3191,ジョイフル本田,デイトレ,2300,0.00
3193,エターナルホスピタリティグループ,デイトレ,15000,0.00
3195,ジェネレーションパス,デイトレ,4100,0.00
3196,ホットランドホールディングス,デイトレ,13700,0.00
3197,すかいらーくホールディングス,デイトレ,7500,0.00
3197,すかいらーくホールディングス,長期,379700,
3199,綿半ホールディングス,デイトレ,1300,0.00
3199,綿半ホールディングス,長期,1700,0.09
319A,技術承継機構,デイトレ,800,29.70
3201,日本毛織,デイトレ,900,0.00
3201,日本毛織,長期,181200,0.11
3202,ダイトウボウ,デイトレ,30900,0.17
3204,トーア紡コーポレーション,デイトレ,2300,1.30
3205,ダイドーリミテッド,デイトレ,35700,0.00
3221,ヨシックスホールディングス,デイトレ,1800,0.00
3222,ユナイテッド・スーパーマーケット・ホールディングス,デイトレ,13500,0.00
3224,ゼネラル・オイスター,デイトレ,2700,0.63
3226,三井不動産アコモデーションファンド投資法人,デイトレ,59,0.00
3226,三井不動産アコモデーションファンド投資法人,長期,12060,
3231,野村不動産ホールディングス,デイトレ,109900,0.00
3231,野村不動産ホールディングス,長期,3360700,
3232,三重交通グループホールディングス,デイトレ,15200,0.00
3234,森ヒルズリート投資法人,デイトレ,64,0.00
3234,森ヒルズリート投資法人,長期,4300,
3236,プロパスト,デイトレ,132500,0.90
3238,セントラル総合開発,デイトレ,21900,1.30
323A,フライヤー,デイトレ,1200,0.49
3241,ウィル,デイトレ,2700,0.00
3242,アーバネットコーポレーション,デイトレ,8700,0.00
3245,ディア・ライフ,長期,27700,0.12
3246,コーセーアールイー,デイトレ,2000,0.90
3248,アールエイジ,デイトレ,600,1.30
3249,産業ファンド投資法人,デイトレ,267,0.00
3249,産業ファンド投資法人,長期,10800,
324A,ブッキングリゾート,デイトレ,3100,0.90
3252,地主,デイトレ,8900,0.00
3252,地主,長期,15200,0.23
325A,ＴＥＮＴＩＡＬ,デイトレ,20100,0.00
3261,グランディーズ,デイトレ,2000,0.90
3267,フィル・カンパニー,デイトレ,3000,1.10
3269,アドバンス・レジデンス投資法人,デイトレ,268,0.00
3269,アドバンス・レジデンス投資法人,長期,12600,
3277,サンセイランディック,デイトレ,4000,0.00
3279,アクティビア・プロパティーズ投資法人,デイトレ,44,0.00
3279,アクティビア・プロパティーズ投資法人,長期,10200,
3280,エストラスト,デイトレ,2200,0.00
3281,ＧＬＰ投資法人,デイトレ,62,0.00
3281,ＧＬＰ投資法人,長期,22700,
3282,コンフォリア・レジデンシャル投資法人,デイトレ,204,0.00
3283,日本プロロジスリート投資法人,デイトレ,66,0.00
3283,日本プロロジスリート投資法人,長期,36100,
3284,フージャースホールディングス,デイトレ,150000,0.00
3284,フージャースホールディングス,長期,41600,0.11
3286,トラストホールディングス,デイトレ,2400,0.90
3287,星野リゾート・リート投資法人,デイトレ,106,0.00
3287,星野リゾート・リート投資法人,長期,1900,
3288,オープンハウスグループ,デイトレ,1500,0.00
3288,オープンハウスグループ,長期,372500,
3289,東急不動産ホールディングス,デイトレ,67100,0.00
3289,東急不動産ホールディングス,長期,66400,
3290,Ｏｎｅリート投資法人,デイトレ,175,0.00
3290,Ｏｎｅリート投資法人,長期,1900,3.00
3291,飯田グループホールディングス,デイトレ,3400,0.00
3291,飯田グループホールディングス,長期,987400,
3292,イオンリート投資法人,デイトレ,193,0.00
3292,イオンリート投資法人,長期,4600,
3293,アズマハウス,デイトレ,600,0.90
3295,ヒューリックリート投資法人,デイトレ,15,0.00
3295,ヒューリックリート投資法人,長期,4000,
3296,日本リート投資法人,デイトレ,211,0.00
3296,日本リート投資法人,長期,10600,
3297,東武住販,デイトレ,500,0.90
3299,ムゲンエステート,デイトレ,1700,0.00
3300,アンビション　ＤＸ　ホールディングス,デイトレ,4100,0.90
3302,帝国繊維,デイトレ,800,0.00
3302,帝国繊維,長期,12800,0.25
3306,日本製麻,デイトレ,30900,0.90
3309,積水ハウス・リート投資法人,デイトレ,1108,0.00
3309,積水ハウス・リート投資法人,長期,21300,
330A,ＴａｌｅｎｔＸ,デイトレ,500,1.30
3317,フライングガーデン,デイトレ,1500,0.90
331A,メディックス,デイトレ,3600,1.10
3320,クロスプラス,デイトレ,1700,0.00
3326,ランシステム,デイトレ,1100,0.90
3329,東和フードサービス,デイトレ,1800,0.00
332A,ミーク,デイトレ,6700,0.00
3333,あさひ,デイトレ,2900,0.00
3333,あさひ,長期,2400,0.05
3346,ヒロタグループホールディングス,デイトレ,1100,0.00
3349,コスモス薬品,デイトレ,4500,0.00
3349,コスモス薬品,長期,248500,
334A,ビジュアル・プロセッシング・ジャパン,デイトレ,400,0.90
3350,メタプラネット,デイトレ,1438300,0.81
3352,バッファロー,デイトレ,500,0.00
3355,クリヤマホールディングス,デイトレ,3800,1.30
3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,デイトレ,22500,0.32
3359,ｃｏｔｔａ,デイトレ,5200,0.00
335A,ミライロ,デイトレ,2500,0.00
3360,シップヘルスケアホールディングス,デイトレ,200,0.00
3360,シップヘルスケアホールディングス,長期,511500,
3361,トーエル,デイトレ,3700,0.90
336A,ダイナミックマッププラットフォーム,デイトレ,22800,8.73
3370,フジタコーポレーション,デイトレ,1100,0.90
3371,ソフトクリエイトホールディングス,デイトレ,4100,0.00
3371,ソフトクリエイトホールディングス,長期,14800,0.17
3372,関門海,デイトレ,12400,0.90
3374,内外テック,デイトレ,500,0.00
3375,ＺＯＡ,デイトレ,100,0.00
3377,バイク王＆カンパニー,デイトレ,8400,0.90
3382,セブン＆アイ・ホールディングス,デイトレ,25600,0.00
3382,セブン＆アイ・ホールディングス,長期,1614500,0.15
3384,アークコア,デイトレ,300,0.00
3386,コスモ・バイオ,デイトレ,1800,0.00
3388,明治電機工業,デイトレ,1300,0.00
3388,明治電機工業,長期,1200,0.14
338A,ＺｅｎｍｕＴｅｃｈ,デイトレ,1200,6.93
3391,ツルハホールディングス,デイトレ,6500,0.00
3392,デリカフーズホールディングス,デイトレ,4700,0.00
3393,スターティアホールディングス,デイトレ,4200,0.00
3395,サンマルクホールディングス,デイトレ,6900,0.00
3395,サンマルクホールディングス,長期,20600,0.20
3396,フェリシモ,デイトレ,400,0.00
3397,トリドールホールディングス,デイトレ,18700,0.00
3399,丸千代山岡家,デイトレ,24300,0.00
339A,プログレス・テクノロジーズ　グループ,デイトレ,5800,0.90
3401,帝人,デイトレ,10200,0.00
3401,帝人,長期,22900,
3402,東レ,デイトレ,74500,0.00
3402,東レ,長期,196900,
3405,クラレ,デイトレ,8400,0.00
3405,クラレ,長期,1823400,
3407,旭化成,デイトレ,84400,0.00
3407,旭化成,長期,181500,
340A,ジグザグ,デイトレ,5700,0.90
3415,ＴＯＫＹＯ　ＢＡＳＥ,デイトレ,43700,0.00
3416,ピクスタ,デイトレ,200,1.30
3418,バルニバービ,デイトレ,3600,0.90
3419,アートグリーン,デイトレ,700,0.00
341A,トヨコー,デイトレ,700,1.80
3421,稲葉製作所,デイトレ,3800,1.30
3422,Ｊ－ＭＡＸ,デイトレ,1300,0.00
3423,エスイー,デイトレ,13200,0.00
3426,アトムリビンテック,デイトレ,100,1.69
3431,宮地エンジニアリンググループ,デイトレ,2600,0.00
3433,トーカロ,デイトレ,10500,0.00
3433,トーカロ,長期,306300,
3434,アルファ,デイトレ,2100,1.30
3435,サンコーテクノ,デイトレ,300,1.30
3436,ＳＵＭＣＯ,デイトレ,102200,0.00
3436,ＳＵＭＣＯ,長期,688400,
3440,日創グループ,デイトレ,800,1.30
3441,山王,デイトレ,16200,1.80
3443,川田テクノロジーズ,長期,117600,
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,デイトレ,8900,0.00
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,長期,75700,
3446,ジェイテックコーポレーション,デイトレ,5800,0.00
3447,信和,デイトレ,3900,0.90
3449,テクノフレックス,デイトレ,4600,0.00
3451,トーセイ・リート投資法人,デイトレ,77,0.00
3451,トーセイ・リート投資法人,長期,400,11.00
3452,ビーロット,デイトレ,11100,0.00
3454,ファーストブラザーズ,デイトレ,2300,0.00
3455,ヘルスケア＆メディカル投資法人,デイトレ,442,0.00
3457,Ａｎｄ　Ｄｏホールディングス,デイトレ,11700,0.90
3459,サムティ・レジデンシャル投資法人,デイトレ,118,0.00
3459,サムティ・レジデンシャル投資法人,長期,700,8.00
3461,パルマ,デイトレ,2300,0.81
3462,野村不動産マスターファンド投資法人,デイトレ,97,0.00
3462,野村不動産マスターファンド投資法人,長期,21100,
3463,いちごホテルリート投資法人,デイトレ,170,143.00
3465,ケイアイスター不動産,デイトレ,5000,0.00
3465,ケイアイスター不動産,長期,42800,
3466,ラサールロジポート投資法人,デイトレ,27,0.00
3466,ラサールロジポート投資法人,長期,8400,
3467,アグレ都市デザイン,デイトレ,500,1.80
3468,スターアジア不動産投資法人,デイトレ,347,0.00
3468,スターアジア不動産投資法人,長期,8400,3.00
346A,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　半導体・半導体製造装置３５％キャップ指数連動型上場投信,デイトレ,239,0.00
3470,マリモ地方創生リート投資法人,デイトレ,111,0.00
3471,三井不動産ロジスティクスパーク投資法人,デイトレ,67,0.00
3471,三井不動産ロジスティクスパーク投資法人,長期,16120,
3472,日本ホテル＆レジデンシャル投資法人,デイトレ,370,59.00
3474,Ｇ－ＦＡＣＴＯＲＹ,デイトレ,5100,0.24
3475,グッドコムアセット,デイトレ,20800,0.00
3476,投資法人みらい,デイトレ,612,0.00
3476,投資法人みらい,長期,6600,
3479,ＴＫＰ,デイトレ,3400,0.00
3481,三菱地所物流リート投資法人,デイトレ,116,0.00
3481,三菱地所物流リート投資法人,長期,4900,
3482,ロードスターキャピタル,デイトレ,10500,0.00
3482,ロードスターキャピタル,長期,13400,0.20
3484,イノベーションホールディングス,デイトレ,500,0.00
3486,グローバル・リンク・マネジメント,デイトレ,7800,0.00
3487,ＣＲＥロジスティクスファンド投資法人,デイトレ,31,0.00
3487,ＣＲＥロジスティクスファンド投資法人,長期,2354,
3488,セントラル・リート投資法人,デイトレ,84,133.00
3489,フェイスネットワーク,デイトレ,15500,0.00
348A,ＭＡＸＩＳ読売３３３日本株上場投信,デイトレ,8700,0.00
3490,アズ企画設計,デイトレ,200,2.76
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,デイトレ,11500,1.10
3492,ＭＩＲＡＲＴＨ不動産投資法人,デイトレ,255,0.00
3492,ＭＩＲＡＲＴＨ不動産投資法人,長期,20,13.00
3494,マリオン,デイトレ,1300,0.90
3496,アズーム,デイトレ,2300,3.60
3498,霞ヶ関キャピタル,デイトレ,2100,22.10
349A,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本グロース株式,デイトレ,10,1.30
3501,ＳＵＭＩＮＯＥ,デイトレ,1400,0.00
3504,丸八ホールディングス,デイトレ,4500,0.00
350A,デジタルグリッド,デイトレ,118700,0.00
3512,日本フエルト,デイトレ,900,0.90
3513,イチカワ,デイトレ,300,2.70
3521,テルマー湯ホールディングス,デイトレ,2400,0.90
3524,日東製網,デイトレ,1100,0.26
3529,アツギ,デイトレ,2900,0.00
3536,アクサスホールディングス,デイトレ,12000,1.27
3537,昭栄薬品,デイトレ,700,1.30
3538,ウイルプラスホールディングス,デイトレ,3700,0.00
3539,ＪＭホールディングス,デイトレ,48400,0.00
3539,ＪＭホールディングス,長期,4500,
3542,ベガコーポレーション,デイトレ,300,0.00
3543,コメダホールディングス,デイトレ,5000,0.00
3543,コメダホールディングス,長期,71400,
3547,ユニシアホールディングス,デイトレ,4500,0.00
3548,バロックジャパンリミテッド,デイトレ,34300,1.30
3549,クスリのアオキホールディングス,デイトレ,2400,5.20
3549,クスリのアオキホールディングス,長期,26500,0.32
354A,ｉＦｒｅｅＥＴＦ　ブルームバーグ日本株高配当５０指数,デイトレ,269,0.00
3550,スタジオアタオ,デイトレ,5700,0.90
3551,ダイニック,デイトレ,43400,1.10
3553,共和レザー,デイトレ,1200,0.00
3556,リネットジャパングループ,デイトレ,13100,0.72
3558,ジェイドグループ,デイトレ,83400,1.67
3559,ピーバンドットコム,デイトレ,3800,0.00
3560,ほぼ日,デイトレ,1500,4.40
3561,力の源ホールディングス,デイトレ,4600,0.00
3562,Ｎｏ．１,デイトレ,3200,0.90
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,デイトレ,33900,0.00
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,長期,599800,
3566,ユニフォームネクスト,デイトレ,9100,1.30
3569,セーレン,デイトレ,4600,0.00
3569,セーレン,長期,166600,
356A,グローバルＸ　Ｓ＆Ｐ５００　キャッシュフロー・トップ１００　ＥＴＦ,デイトレ,4,0.00
3571,ソトー,デイトレ,6700,0.00
3580,小松マテーレ,デイトレ,400,0.00
3580,小松マテーレ,長期,3900,
3591,ワコールホールディングス,長期,64400,
3607,クラウディアホールディングス,デイトレ,2000,0.90
3608,ＴＳＩホールディングス,デイトレ,11000,0.00
3608,ＴＳＩホールディングス,長期,135600,
3611,マツオカコーポレーション,デイトレ,13800,0.00
3612,ワールド,デイトレ,10100,0.00
3612,ワールド,長期,8300,0.30
3622,ネットイヤーグループ,デイトレ,2100,1.30
3623,ビリングシステム,デイトレ,1500,0.90
3625,テックファームホールディングス,デイトレ,12100,0.90
3626,ＴＩＳＩ,デイトレ,8400,0.00
3626,ＴＩＳＩ,長期,923700,
3627,テクミラホールディングス,デイトレ,20400,0.00
3628,データホライゾン,デイトレ,8900,1.30
3632,グリーホールディングス,デイトレ,31900,0.00
3632,グリーホールディングス,長期,111600,0.04
3633,ＧＭＯペパボ,デイトレ,700,1.80
3634,ソケッツ,デイトレ,2100,0.90
