約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2024/1/31,シュッピン,3179,--,株式現物買,--, 特定 ,--,1,1052,--,--,2024/2/2,1052
2024/2/2,エディオン,2730,--,株式現物買,--, 特定 ,--,1,1643,--,--,2024/2/6,1643
2024/2/2,ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）,,,投信金額買付,--, NISA(つ) ,--,195,25741,--,--,2024/2/7,500
2024/2/2,ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）,,,投信金額買付,--, NISA(つ) ,--,229,21849,--,--,2024/2/8,500
2024/2/5,ソースネクスト,4344,--,株式現物買,--, 特定 ,--,1,148,--,--,2024/2/7,148
2024/2/5,早稲田アカデミー,4718,--,株式現物買,--, 特定 ,--,1,1702,--,--,2024/2/7,1702
2024/2/5,リンガーハット,8200,--,株式現物買,--, 特定 ,--,1,2436,--,--,2024/2/7,2436
2024/2/5,イオンディライト,9787,--,株式現物買,--, 特定 ,--,1,3800,--,--,2024/2/7,3800
2024/2/6,トレジャー・ファクトリー,3093,東証,株式現物買,--, 特定 ,--,100,1374,--,--,2024/2/8,137400
2024/2/6,瑞光,6279,東証,株式現物買,--, 特定 ,--,100,1835,--,--,2024/2/8,183500
2024/2/6,トレジャー・ファクトリー,3093,東証,信用新規売,6ヶ月, 特定 ,--,100,1374,--,--,2024/2/8,--
2024/2/6,瑞光,6279,東証,信用新規売,15日, 特定 ,--,100,1835,--,--,2024/2/8,--
2024/2/13,イオンディライト,9787,--,株式現物売,--, 特定 ,申告,1,3590,--,--,2024/2/15,3590
2024/2/13,トレジャー・ファクトリー,3093,--,現渡,6ヶ月, 特定 ,申告,100,1374,68,--,2024/2/15,137332
2024/2/16,すかいらーくホールディングス,3197,--,株式現物買,--, 特定 ,--,1,2127,--,--,2024/2/20,2127
2024/2/16,トリドールホールディングス,3397,--,株式現物買,--, 特定 ,--,1,4169,--,--,2024/2/20,4169
2024/2/16,西松屋チェーン,7545,--,株式現物買,--, 特定 ,--,1,2159,--,--,2024/2/20,2159
2024/2/19,ヤーマン,6630,--,株式現物買,--, 特定 ,--,1,1004,--,--,2024/2/21,1004
2024/2/19,日神グループホールディングス,8881,--,株式現物買,--, 特定 ,--,1,498,--,--,2024/2/21,498
2024/2/19,瑞光,6279,--,現渡,15日, 特定 ,申告,100,1835,274,--,2024/2/21,183226
2024/2/26,ワールド,3612,--,株式現物買,--, 特定 ,--,1,1968,--,--,2024/2/28,1968
2024/2/26,イオンモール,8905,--,株式現物買,--, 特定 ,--,1,1836.5,--,--,2024/2/28,1836
2024/2/26,イオンディライト,9787,--,株式現物買,--, 特定 ,--,1,3530,--,--,2024/2/28,3530
2024/2/27,ラストワンマイル,9252,--,株式現物買,--, 特定 ,--,1,3485,--,--,2024/2/29,3485
2024/2/28,ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）,,,投信金額買付,--, NISA(つ) ,--,1773,27403,--,--,2024/3/4,4858
2024/2/28,ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）,,,投信金額買付,--, NISA(つ) ,--,3650,27403,--,--,2024/3/4,10000
2024/2/28,ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）,,,投信金額買付,--, NISA(成) ,--,2190,27403,--,--,2024/3/4,6000
2024/3/1,三菱ロジスネクスト,7105,--,株式現物買,--, 特定 ,--,1,1650,--,--,2024/3/5,1650
2024/3/1,ヨロズ,7294,--,株式現物買,--, 特定 ,--,1,945,--,--,2024/3/5,945
2024/3/4,オイレス工業,6282,--,株式現物買,--, 特定 ,--,1,2097,--,--,2024/3/6,2097
2024/3/5,プロシップ,3763,--,株式現物買,--, 特定 ,--,1,1466,--,--,2024/3/7,1466
2024/3/5,エイチワン,5989,--,株式現物買,--, 特定 ,--,1,676,--,--,2024/3/7,676
2024/3/5,ウィルグループ,6089,--,株式現物買,--, 特定 ,--,1,1118,--,--,2024/3/7,1118
2024/3/7,ラストワンマイル,9252,--,株式現物売,--, 特定 ,申告,1,3220,--,--,2024/3/11,3220
2024/3/8,ダイコク電機,6430,--,株式現物買,--, 特定 ,--,1,3990,--,--,2024/3/12,3990
2024/3/8,ビジネスブレイン太田昭和,9658,--,株式現物買,--, 特定 ,--,1,2238,--,--,2024/3/12,2238
