約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2024/6/27,日本マクドナルドホールディングス,2702,東証,株式現物売,--, 特定 ,申告,100,6340,--,--,2024/7/1,634000
2024/6/27,物語コーポレーション,3097,東証,株式現物売,--, 特定 ,申告,100,3405,--,--,2024/7/1,340500
2024/6/27,メディアスホールディングス,3154,東証,株式現物売,--, 特定 ,申告,100,931,--,--,2024/7/1,93100
2024/6/27,すかいらーくホールディングス,3197,東証,株式現物売,--, 特定 ,申告,100,2223,--,--,2024/7/1,222300
2024/6/27,アイスタイル,3660,東証,株式現物売,--, 特定 ,申告,100,495,--,--,2024/7/1,49500
2024/6/27,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,3688,東証,株式現物売,--, 特定 ,申告,100,1598,--,--,2024/7/1,159800
2024/6/27,メディカル・データ・ビジョン,3902,東証,株式現物売,--, 特定 ,申告,100,590,--,--,2024/7/1,59000
2024/6/27,パン・パシフィック・インターナショナルホールディングス,7532,東証,株式現物売,--, 特定 ,申告,100,3862,--,--,2024/7/1,386200
2024/6/28,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,6,1,--,--,2024/7/1,6
2024/6/28,野村ＭＲＦ,,,MRF再投資,--, 特定/一般 ,--,6,1,--,--,2024/6/28,6
2024/7/17,ダイドーグループホールディングス,2590,東証,株式現物買,--, 特定 ,--,200,2664,--,--,2024/7/19,532800
2024/7/18,ダイドーグループホールディングス,2590,東証,株式現物売,--, 特定 ,申告,200,2670,--,--,2024/7/22,534000
2024/7/26,モロゾフ,2217,東証,株式現物買,--, 特定 ,--,100,4610,--,--,2024/7/30,461000
2024/7/30,モロゾフ,2217,東証,株式現物売,--, 特定 ,申告,100,4700,--,--,2024/8/1,470000
2024/8/16,西松屋チェーン,7545,東証,株式現物買,--, 特定 ,--,100,2275,--,--,2024/8/20,227500
2024/8/19,西松屋チェーン,7545,東証,株式現物売,--, 特定 ,申告,100,2274,--,--,2024/8/21,227400
2024/8/28,ジンズホールディングス,3046,東証,株式現物買,--, 特定 ,--,100,5130,--,--,2024/8/30,513000
2024/8/28,ＳＦＰホールディングス,3198,東証,株式現物買,--, 特定 ,--,100,2109,--,--,2024/8/30,210900
2024/8/28,セブン＆アイ・ホールディングス,3382,東証,株式現物買,--, 特定 ,--,100,2100,--,--,2024/8/30,210000
2024/8/28,クリエイト・レストランツ・ホールディングス,3387,東証,株式現物買,--, 特定 ,--,600,1060,--,--,2024/8/30,636000
2024/8/28,壱番屋,7630,東証,株式現物買,--, 特定 ,--,100,1041,--,--,2024/8/30,104100
2024/8/28,吉野家ホールディングス,9861,東証,株式現物買,--, 特定 ,--,200,3099,--,--,2024/8/30,619800
2024/8/28,ミニストップ,9946,東証,株式現物買,--, 特定 ,--,100,1682,--,--,2024/8/30,168200
2024/8/29,ジンズホールディングス,3046,東証,株式現物売,--, 特定 ,申告,100,5050,--,--,2024/9/2,505000
2024/8/29,ＳＦＰホールディングス,3198,東証,株式現物売,--, 特定 ,申告,100,2070,--,--,2024/9/2,207000
2024/8/29,セブン＆アイ・ホールディングス,3382,東証,株式現物売,--, 特定 ,申告,100,2081,--,--,2024/9/2,208100
2024/8/29,クリエイト・レストランツ・ホールディングス,3387,東証,株式現物売,--, 特定 ,申告,600,1055,--,--,2024/9/2,633000
2024/8/29,壱番屋,7630,東証,株式現物売,--, 特定 ,申告,100,1017,--,--,2024/9/2,101700
2024/8/29,吉野家ホールディングス,9861,東証,株式現物売,--, 特定 ,申告,200,3020,--,--,2024/9/2,604000
2024/8/29,ミニストップ,9946,東証,株式現物売,--, 特定 ,申告,100,1680,--,--,2024/9/2,168000
2024/9/26,名糖産業,2207,東証,株式現物買,--, 特定 ,--,100,1861,--,--,2024/9/30,186100
2024/9/26,ＴＯＫＡＩホールディングス,3167,東証,株式現物買,--, 特定 ,--,300,985,--,--,2024/9/30,295500
2024/9/26,日本空調サービス,4658,東証,株式現物買,--, 特定 ,--,500,1067,--,--,2024/9/30,533500
2024/9/26,早稲田アカデミー,4718,東証,株式現物買,--, 特定 ,--,100,1622,--,--,2024/9/30,162200
2024/9/26,カッパ・クリエイト,7421,東証,株式現物買,--, 特定 ,--,100,1708,--,--,2024/9/30,170800
2024/9/26,コロワイド,7616,東証,株式現物買,--, 特定 ,--,500,1731,--,--,2024/9/30,865500
2024/9/26,ＡＯＫＩホールディングス,8214,東証,株式現物買,--, 特定 ,--,100,1237,--,--,2024/9/30,123700
2024/9/26,フォーバル,8275,東証,株式現物買,--, 特定 ,--,100,1485,--,--,2024/9/30,148500
2024/9/26,アドバンスクリエイト,8798,東証,株式現物買,--, 特定 ,--,100,1038,--,--,2024/9/30,103800
2024/9/26,近鉄グループホールディングス,9041,東証,株式現物買,--, 特定 ,--,100,3568,--,--,2024/9/30,356800
2024/9/27,名糖産業,2207,東証,株式現物売,--, 特定 ,申告,100,1804,--,--,2024/10/1,180400
2024/9/27,ＴＯＫＡＩホールディングス,3167,東証,株式現物売,--, 特定 ,申告,300,966,--,--,2024/10/1,289800
2024/9/27,日本空調サービス,4658,東証,株式現物売,--, 特定 ,申告,500,1038,--,--,2024/10/1,519000
2024/9/27,早稲田アカデミー,4718,東証,株式現物売,--, 特定 ,申告,100,1612,--,--,2024/10/1,161200
2024/9/27,カッパ・クリエイト,7421,東証,株式現物売,--, 特定 ,申告,100,1707,--,--,2024/10/1,170700
2024/9/27,コロワイド,7616,東証,株式現物売,--, 特定 ,申告,500,1742,--,--,2024/10/1,871000
2024/9/27,ＡＯＫＩホールディングス,8214,東証,株式現物売,--, 特定 ,申告,100,1221,--,--,2024/10/1,122100
2024/9/27,フォーバル,8275,東証,株式現物売,--, 特定 ,申告,100,1524,--,--,2024/10/1,152400
2024/9/27,アドバンスクリエイト,8798,東証,株式現物売,--, 特定 ,申告,100,978,--,--,2024/10/1,97800
2024/9/27,近鉄グループホールディングス,9041,東証,株式現物売,--, 特定 ,申告,100,3565,--,--,2024/10/1,356500
2024/10/29,正栄食品工業,8079,東証,株式現物買,--, 特定 ,--,100,4525,--,--,2024/10/31,452500
2024/10/30,正栄食品工業,8079,東証,株式現物売,--, 特定 ,申告,100,4465,--,--,2024/11/1,446500
2024/11/15,アスクル,2678,東証,株式現物買,--, 特定 ,--,100,1912,--,--,2024/11/19,191200
2024/11/19,アスクル,2678,東証,株式現物売,--, 特定 ,申告,100,1875,--,--,2024/11/21,187500
2024/11/26,サーラコーポレーション,2734,東証,株式現物買,--, 特定 ,--,500,801,--,--,2024/11/28,400500
2024/11/27,ラクト・ジャパン,3139,東証,株式現物買,--, 特定 ,--,100,2721,--,--,2024/11/29,272100
2024/11/27,トーセイ,8923,東証,株式現物買,--, 特定 ,--,100,2360,--,--,2024/11/29,236000
2024/11/27,モリト,9837,東証,株式現物買,--, 特定 ,--,100,1472,--,--,2024/11/29,147200
2024/11/28,サーラコーポレーション,2734,東証,株式現物売,--, 特定 ,申告,500,780,--,--,2024/12/2,390000
2024/11/28,ラクト・ジャパン,3139,東証,株式現物売,--, 特定 ,申告,100,2683,--,--,2024/12/2,268300
2024/11/28,トーセイ,8923,東証,株式現物売,--, 特定 ,申告,100,2337,--,--,2024/12/2,233700
2024/11/28,モリト,9837,東証,株式現物売,--, 特定 ,申告,100,1444,--,--,2024/12/2,144400
2024/12/9,楽天グループ,4755,--,株式現物買,--, 特定 ,--,1,892.9,--,--,2024/12/11,892
2024/12/13,楽天グループ,4755,東証,株式現物買,--, 特定 ,--,100,982.4,--,--,2024/12/17,98240
2024/12/20,日本マクドナルドホールディングス,2702,東証,株式現物買,--, 特定 ,--,100,6290,--,--,2024/12/24,629000
2024/12/20,日本マクドナルドホールディングス,2702,東証,信用新規売,15日, 特定 ,--,100,6290,--,--,2024/12/24,--
2024/12/20,楽天グループ,4755,東証,信用新規売,15日, 特定 ,--,100,929,--,--,2024/12/24,--
2024/12/23,すかいらーくホールディングス,3197,東証,株式現物買,--, 特定 ,--,100,2446.5,--,--,2024/12/25,244650
2024/12/23,すかいらーくホールディングス,3197,東証,信用新規売,15日, 特定 ,--,100,2446.5,--,--,2024/12/25,--
2024/12/24,アルペン,3028,東証,株式現物買,--, 特定 ,--,100,2065,--,--,2024/12/26,206500
2024/12/24,物語コーポレーション,3097,東証,株式現物買,--, 特定 ,--,100,3525,--,--,2024/12/26,352500
2024/12/24,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,3688,東証,株式現物買,--, 特定 ,--,100,1428,--,--,2024/12/26,142800
2024/12/24,セレス,3696,東証,株式現物買,--, 特定 ,--,100,3375,--,--,2024/12/26,337500
2024/12/24,シークス,7613,東証,株式現物買,--, 特定 ,--,100,1153,--,--,2024/12/26,115300
2024/12/24,ビジョン,9416,東証,株式現物買,--, 特定 ,--,300,1248,--,--,2024/12/26,374400
2024/12/24,東京都競馬,9672,東証,株式現物買,--, 特定 ,--,100,4380,--,--,2024/12/26,438000
2024/12/24,物語コーポレーション,3097,東証,信用新規売,15日, 特定 ,--,100,3525,--,--,2024/12/26,--
2024/12/24,シークス,7613,東証,信用新規売,15日, 特定 ,--,100,1153,--,--,2024/12/26,--
2024/12/24,東京都競馬,9672,東証,信用新規売,15日, 特定 ,--,100,4380,--,--,2024/12/26,--
2024/12/25,セルシス,3663,東証,株式現物買,--, 特定 ,--,100,1341,--,--,2024/12/27,134100
2024/12/25,セルシス,3663,東証,信用新規売,15日, 特定 ,--,100,1341,--,--,2024/12/27,--
2024/12/26,カゴメ,2811,--,株式現物買,--, 特定 ,--,1,2976,--,--,2024/12/30,2976
2024/12/26,ヒューリック,3003,東証,株式現物買,--, 特定 ,--,300,1366.5,--,--,2024/12/30,409950
2024/12/26,サカタインクス,4633,東証,株式現物買,--, 特定 ,--,100,1681,--,--,2024/12/30,168100
2024/12/26,東海カーボン,5301,--,株式現物買,--, 特定 ,--,1,892.3,--,--,2024/12/30,892
2024/12/26,ユニオンツール,6278,--,株式現物買,--, 特定 ,--,1,5020,--,--,2024/12/30,5020
2024/12/26,パン・パシフィック・インターナショナルホールディングス,7532,東証,株式現物買,--, 特定 ,--,100,4044,--,--,2024/12/30,404400
2024/12/26,ヒューリック,3003,東証,信用新規売,15日, 特定 ,--,300,1366.5,--,--,2024/12/30,--
2024/12/26,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,3688,東証,信用新規売,15日, 特定 ,--,100,1435,--,--,2024/12/30,--
2024/12/26,サカタインクス,4633,東証,信用新規売,15日, 特定 ,--,100,1681,--,--,2024/12/30,--
2024/12/26,パン・パシフィック・インターナショナルホールディングス,7532,東証,信用新規売,15日, 特定 ,--,100,4044,--,--,2024/12/30,--
2024/12/26,ビジョン,9416,東証,信用新規売,15日, 特定 ,--,300,1229,--,--,2024/12/30,--
2024/12/27,日本マクドナルドホールディングス,2702,--,株式現物売,--, 特定 ,申告,1,6140,--,--,2025/1/6,6140
2024/12/27,カゴメ,2811,--,株式現物売,--, 特定 ,申告,1,2921.5,--,--,2025/1/6,2922
2024/12/27,アルペン,3028,東証,株式現物売,--, 特定 ,申告,100,2043,--,--,2025/1/6,204300
2024/12/27,セレス,3696,東証,株式現物売,--, 特定 ,申告,100,3375,--,--,2025/1/6,337500
2024/12/27,楽天グループ,4755,--,株式現物売,--, 特定 ,申告,1,870.3,--,--,2025/1/6,871
2024/12/27,東海カーボン,5301,--,株式現物売,--, 特定 ,申告,1,885.1,--,--,2025/1/6,886
2024/12/27,ユニオンツール,6278,--,株式現物売,--, 特定 ,申告,1,4995,--,--,2025/1/6,4995
2024/12/27,日本マクドナルドホールディングス,2702,--,現渡,15日, 特定 ,申告,100,6290,940,--,2025/1/6,628060
2024/12/27,ヒューリック,3003,--,現渡,15日, 特定 ,申告,300,1366.5,350,--,2025/1/6,409600
2024/12/27,物語コーポレーション,3097,--,現渡,15日, 特定 ,申告,100,3525,451,--,2025/1/6,352049
2024/12/27,すかいらーくホールディングス,3197,--,現渡,15日, 特定 ,申告,100,2446.5,339,--,2025/1/6,244311
2024/12/27,セルシス,3663,--,現渡,15日, 特定 ,申告,100,1341,157,--,2025/1/6,133943
2024/12/27,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,3688,--,現渡,15日, 特定 ,申告,100,1435,122,--,2025/1/6,143378
2024/12/27,サカタインクス,4633,--,現渡,15日, 特定 ,申告,100,1681,143,--,2025/1/6,167957
2024/12/27,楽天グループ,4755,--,現渡,15日, 特定 ,申告,100,929,138,--,2025/1/6,92762
2024/12/27,パン・パシフィック・インターナショナルホールディングス,7532,--,現渡,15日, 特定 ,申告,100,4044,345,--,2025/1/6,404055
