銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"キオクシアホールディングス","285A","東証","○","-","○","440,200","-","無","0.00","83,300","7,040","22.50 %","-","289,390","56,815,500","-10.48 %","貸借","0.00"
"ＪＮグループ","6634","東証","○","-","-","0","11/26","有","0.10","83","16","22.05 %","-","2,236","5,591,600","-5.68 %","貸借","0.00"
"ＲＥＹＵＵＪＡＰＡＮ","9425","東証","○","-","-","43,900","-","無","0.30","261","51","20.83 %","-","3,528","4,389,100","-0.38 %","信用","0.00"
"ＳＵＭＣＯ","3436","東証","○","-","○","112,000","-","無","0.00","5,094","517","20.51 %","-","75,704","24,518,300","-0.11 %","貸借","0.20"
"ＫＯＫＵＳＡＩＥＬＥＣＴＲＩＣ","6525","東証","○","-","○","62,700","-","無","0.00","12,000","1,570","20.34 %","-","48,520","14,224,700","-1.80 %","貸借","0.00"
"リベルタ","4935","東証","○","-","-","38,500","12/28","有","1.30","360","52","20.00 %","-","7,390","6,598,200","0.00 %","信用","0.00"
"芝浦メカトロニクス","6590","東証","○","-","○","19,100","-","無","0.00","5,980","580","19.36 %","-","6,931","4,049,500","0.00 %","貸借","0.35"
"トーシンホールディングス","9444","東証","○","-","-","12,000","10/28","有","0.10","259","39","19.35 %","-","1,702","598,100","-7.16 %","信用","0.00"
"ＲＳＴＥＣＨＮＯＬＯＧＩＥＳ","3445","東証","○","-","○","3,200","-","無","0.00","8,450","890","17.85 %","-","1,877","454,400","0.00 %","貸借","0.00"
"キャンバス","4575","東証","○","-","-","20,400","-","無","0.90","690","100","15.00 %","-","3,382","1,350,200","0.00 %","信用","0.00"
"ＧＸ中小リーダー日株","2837","東証","○","-","-","1,216","-","無","6.00","5,700","337","14.45 %","-","1,956","121,565","-4.79 %","貸借","0.00"
"ニチコン","6996","東証","○","-","○","9,600","-","無","0.00","4,435","140","14.45 %","-","3,399","1,335,500","-8.36 %","貸借","0.00"
"カーリット","4275","東証","○","-","-","5,000","09/28","有","0.00","2,570","323","14.27 %","-","2,303","498,800","-0.19 %","貸借","0.05"
"北川精機","6327","東証","○","-","-","11,900","-","無","6.10","8,210","450","14.02 %","-","6,744","1,312,200","-13.39 %","信用","0.00"
"岡野バルブ","6492","東証","○","-","-","1,800","-","無","10.80","21,350","2,630","13.68 %","-","651","90,200","-1.38 %","信用","0.00"
"ＮＮＫＯＳＰＩブルＥＴＮ","2033","東証","○","-","-","72","-","無","111.00","112,400","5,700","13.53 %","-","3,450","12,027","-15.36 %","信用","0.00"
"ＬＩＮＫ－Ｕグループ","4446","東証","○","-","-","0","-","無","2.30","925","82","13.49 %","-","6,851","1,684,500","-6.65 %","貸借","0.05"
"ＡＭＡＺＩＡ","4424","東証","○","-","-","18,300","-","無","0.50","272","26","13.33 %","-","4,178","2,113,700","-16.56 %","貸借","0.05"
"ハーモニック・ドライブ・シス","6324","東証","○","-","○","33,300","-","無","0.00","8,840","710","12.75 %","-","9,971","4,155,900","0.00 %","貸借","0.00"
"インスペック","6656","東証","○","-","-","0","-","無","1.00","1,321","119","12.71 %","-","1,340","292,000","-3.57 %","貸借","0.00"
"ローツェ","6323","東証","○","-","○","33,600","-","無","0.00","4,940","239","12.32 %","-","9,870","2,099,200","-4.98 %","貸借","0.00"
"ローム","6963","東証","○","-","○","52,300","-","無","0.00","5,950","739","12.28 %","-","32,871","10,113,300","0.00 %","貸借","0.00"
"ＮＦ日経半導体株","200A","東証","○","-","-","18,911","-","無","5.00","5,710","237","12.26 %","-","51,273","6,303,597","-7.29 %","貸借","0.00"
"上場日経半導体","213A","東証","○","-","-","0","-","無","0.00","526.3","22.3","11.97 %","-","4,226","4,697,820","-7.48 %","貸借","0.00"
"日本電波工業","6779","東証","○","-","-","15,700","-","無","0.40","3,750","280","11.94 %","-","3,466","1,289,200","-2.59 %","信用","0.00"
"日本ケミコン","6997","東証","○","-","○","36,500","-","無","0.00","5,570","430","11.84 %","-","3,891","1,361,300","-5.59 %","貸借","0.00"
"マルマエ","6264","東証","○","-","○","500","08/27","有","0.00","2,962","239","11.77 %","-","5,722","1,443,600","-3.98 %","貸借","0.00"
"ＭＸＳ日経半導体株","221A","東証","○","-","-","7,190","-","無","0.00","1,480.5","59.0","11.19 %","-","1,536","718,220","-7.61 %","貸借","0.00"
"テクセンドフォトマスク","429A","東証","○","-","○","75,100","-","無","0.00","4,775","120","11.04 %","-","4,054","1,467,100","-0.72 %","貸借","0.00"
"石井表記","6336","東証","○","-","-","1,800","-","無","0.70","1,899","121","10.98 %","-","1,229","273,100","-3.30 %","信用","0.00"
"セレンディップ・ホールディ","7318","東証","○","-","-","5,400","-","無","1.10","2,359","139","10.80 %","-","923","267,200","-0.67 %","信用","0.00"
"ピクセラ","6731","東証","○","-","-","18,700","-","無","0.20","124","9","10.71 %","-","706","935,200","-2.36 %","信用","0.00"
"ＧＸ半導体１０日株","282A","東証","○","-","-","6,409","-","無","3.00","3,030","95","10.02 %","-","3,853","640,866","-8.95 %","貸借","0.00"
"三井ハイテック","6966","東証","○","-","○","127,600","-","無","0.00","1,095","91","9.93 %","-","7,149","5,251,300","0.00 %","貸借","0.00"
"エンプラス","6961","東証","○","-","○","2,300","-","無","0.00","13,300","350","9.73 %","-","663","123,500","-2.20 %","貸借","0.00"
"ジーエルテクノホールディンク","255A","東証","○","-","-","1,300","-","無","0.00","6,440","-20","9.52 %","-","605","122,000","-6.66 %","貸借","0.00"
"テラプローブ","6627","東証","○","-","-","3,300","-","無","0.90","13,880","670","9.46 %","-","743","139,500","-3.40 %","信用","0.00"
"安川電機","6506","東証","○","-","○","45,300","-","無","0.00","7,479","537","9.31 %","-","22,720","5,230,400","0.00 %","貸借","0.00"
"ＡＬＢＡＬＩＮＫ","5537","東証","○","-","-","3,200","-","無","2.80","3,130","328","9.21 %","-","616","156,700","-3.09 %","信用","0.00"
"ＣＫＤ","6407","東証","○","-","-","4,400","09/28","有","0.00","7,490","30","9.18 %","-","3,465","1,435,900","-5.42 %","貸借","0.05"
"ナガホリ","8139","東証","○","-","-","0","-","無","2.10","2,303","167","9.14 %","-","96","40,400","0.00 %","貸借","0.00"
"ＴＶＥ","6466","東証","○","-","-","400","-","無","4.10","5,000","415","8.93 %","-","232","40,700","-1.18 %","貸借","0.00"
"櫻護謨","5189","東証","○","-","-","100","-","無","3.20","3,385","280","8.84 %","-","47","5,900","0.00 %","信用","0.00"
"ＡｅｒｏＥｄｇｅ","7409","東証","○","-","-","2,200","-","無","2.90","1,888","121","8.81 %","-","549","110,200","-0.10 %","信用","0.00"
"網屋","4258","東証","○","-","-","1,800","12/28","有","3.10","4,395","475","8.65 %","-","795","176,100","0.00 %","貸借","0.20"
"グリーンエナジー＆カンパニ","1436","東証","○","-","-","1,800","10/28","有","1.20","1,560","136","8.55 %","-","403","86,600","0.00 %","信用","0.00"
"ＩＭＶ","7760","東証","○","-","-","2,900","-","無","1.20","2,722","169","8.53 %","-","818","145,800","0.00 %","信用","0.00"
"第一工業製薬","4461","東証","○","-","-","200","09/28","有","0.00","12,880","710","8.50 %","-","662","120,000","-1.52 %","貸借","0.00"
"シンバイオ製薬","4582","東証","○","-","-","0","-","無","0.10","77","6","8.45 %","-","637","1,288,600","-2.53 %","信用","0.00"
"山一電機","6941","東証","○","-","○","4,500","03/29","有","0.00","9,420","310","8.27 %","-","1,233","299,900","-7.10 %","貸借","0.00"
"ＳＣＲＥＥＮホールディングス","7735","東証","○","-","○","44,800","-","無","0.00","18,940","885","8.22 %","-","18,962","4,140,700","-4.19 %","貸借","0.00"
"マイクロアド","9553","東証","○","-","-","4,400","09/28","有","1.20","609","53","8.17 %","-","973","439,900","-1.29 %","貸借","0.00"
"ツガミ","6101","東証","○","-","○","13,500","-","無","0.00","8,120","310","8.12 %","-","1,466","487,000","-5.90 %","貸借","0.00"
"パワーエックス","485A","東証","○","-","-","28,400","-","無","11.10","2,011","149","8.06 %","-","12,977","4,724,700","0.00 %","信用","0.00"
"ＧＯ","581A","東証","○","-","-","11,800","-","無","1.50","2,376","175","8.00 %","-","6,121","1,959,100","-1.20 %","信用","0.00"
"東洋紡","3101","東証","○","-","○","60,300","-","無","0.00","1,741","125","7.93 %","-","2,442","908,900","-0.22 %","貸借","0.00"
"日本電子材料","6855","東証","○","-","○","9,700","-","無","0.00","7,750","230","7.93 %","-","2,657","976,800","-6.62 %","貸借","0.00"
"イントランス","3237","東証","○","-","-","18,900","09/28","有","0.10","109","6","7.92 %","-","399","945,600","0.00 %","信用","0.00"
"新電元工業","6844","東証","○","-","○","6,800","-","無","0.00","3,890","155","7.90 %","-","768","243,300","-2.01 %","貸借","0.00"
"ナブテスコ","6268","東証","○","-","○","22,300","-","無","0.00","5,655","439","7.85 %","-","6,801","1,651,100","0.00 %","貸借","0.00"
"アクセルスペース","402A","東証","○","-","-","14,300","-","無","0.60","552","38","7.81 %","-","2,643","2,370,300","0.00 %","信用","0.00"
"ＭＥＲＦ","3168","東証","○","-","-","1,100","08/27","有","1.80","1,300","85","7.79 %","-","453","106,200","-0.76 %","貸借","0.00"
"ソシオネクスト","6526","東証","○","-","-","117,100","-","無","0.00","2,874.0","106.5","7.74 %","-","39,342","12,212,600","-0.13 %","貸借","0.00"
"中北製作所","6496","東証","○","-","-","0","-","無","0.00","5,320","385","7.69 %","-","104","17,900","-0.18 %","貸借","0.00"
"ミラティブ","472A","東証","○","-","-","2,900","-","無","0.50","450","36","7.65 %","-","455","142,100","0.00 %","信用","0.00"
"太陽誘電","6976","東証","○","-","-","0","-","無","0.00","20,560","160","7.64 %","-","103,876","25,081,600","-14.56 %","貸借","1.05"
"デクセリアルズ","4980","東証","○","-","○","68,700","-","無","0.00","4,298","207","7.45 %","-","9,417","2,429,300","-1.62 %","貸借","0.00"
"エンシュウ","6218","東証","○","-","-","200","03/29","有","0.00","693","56","7.44 %","-","130","39,100","0.00 %","貸借","0.00"
"ＰＩＬＬＡＲ","6490","東証","○","-","-","1,700","09/28","有","0.00","10,710","380","7.42 %","-","717","163,700","-7.27 %","貸借","0.00"
"ＦＵＪＩ","6134","東証","○","-","○","16,900","-","無","0.00","8,748","298","7.33 %","-","3,781","682,300","-2.18 %","貸借","0.00"
"フェローテック","6890","東証","○","-","-","12,600","-","無","0.00","9,280","330","7.28 %","-","3,808","1,253,400","-6.63 %","貸借","0.00"
"ファーストアカウンティング","5588","東証","○","-","-","600","-","無","0.70","783","58","7.26 %","-","156","30,900","0.00 %","信用","0.00"
"ＨＵＭＡＮＭＡＤＥ","456A","東証","○","-","-","3,200","-","無","1.60","1,587","185","7.22 %","-","2,504","893,700","-1.24 %","貸借","0.05"
"村田製作所","6981","東証","○","-","○","140,200","-","無","0.00","11,080","205","7.20 %","-","64,307","24,232,500","-9.77 %","貸借","0.00"
"不二越","6474","東証","○","-","○","5,400","-","無","0.00","6,430","460","7.16 %","-","460","156,400","0.00 %","貸借","0.00"
"太洋物産","9941","東証","○","-","-","0","-","無","1.50","1,630","199","7.16 %","-","6,106","1,234,700","-5.83 %","信用","0.00"
"アイズ","5242","東証","○","-","-","0","-","無","0.90","907","90","7.08 %","-","1,024","525,800","-6.20 %","信用","0.00"
"オーエスジー","6136","東証","○","-","-","10,800","-","無","0.00","4,101","379","7.07 %","-","4,887","1,352,800","0.00 %","貸借","0.00"
"ＺＯＡ","3375","東証","○","-","-","2,100","-","無","0.80","1,804","120","7.06 %","-","3","600","0.00 %","信用","0.00"
"ケイファーマ","4896","東証","○","-","-","0","-","無","0.60","715","37","7.03 %","-","86","20,100","0.00 %","信用","0.00"
"日本発条","5991","東証","○","-","○","23,800","-","無","0.00","4,095","149","7.00 %","-","3,250","1,046,200","-0.36 %","貸借","0.00"
"メイコー","6787","東証","○","-","○","8,100","-","無","0.00","29,330","750","6.96 %","-","2,663","499,700","-7.18 %","貸借","0.00"
"ニッポン高度紙工業","3891","東証","○","-","-","2,500","-","無","0.00","9,300","-100","6.89 %","-","1,240","246,500","-11.51 %","貸借","0.00"
"中村超硬","6166","東証","○","-","-","5,900","-","無","1.30","930","131","6.89 %","-","2,448","1,920,200","-2.00 %","信用","0.00"
"ジャパンマテリアル","6055","東証","○","-","-","0","-","無","0.00","2,500","10","6.83 %","-","4,063","1,071,300","-9.74 %","貸借","0.00"
"ＲＩＤＧＥ－Ｉ","5572","東証","○","-","-","0","-","無","8.20","2,800","279","6.82 %","-","568","96,200","-0.88 %","信用","0.00"
"ＦＩＮＡＴＥＸＴホールディンク","4419","東証","○","-","-","5,900","-","無","1.00","1,516","148","6.76 %","-","3,272","973,200","-2.19 %","信用","0.00"
"愛三工業","7283","東証","○","-","○","13,000","-","無","0.00","2,147","162","6.76 %","-","2,260","678,600","-0.73 %","貸借","0.05"
"ＴＨＫ","6481","東証","○","-","○","25,400","-","無","0.00","7,784","351","6.74 %","-","3,161","759,600","-0.47 %","貸借","0.00"
"ＫＯＡ","6999","東証","○","-","○","18,700","-","無","0.00","2,926","35","6.74 %","-","1,735","391,300","-3.75 %","貸借","0.05"
"フィーチャ","4052","東証","○","-","-","0","-","無","0.20","238","10","6.72 %","-","8","1,300","0.00 %","信用","0.00"
"東洋合成工業","4970","東証","○","-","-","1,200","03/29","有","4.90","17,180","560","6.70 %","-","347","58,100","-2.16 %","信用","0.00"
"ヤマトモビリティ＆ＭＦＧ","7886","東証","○","-","-","100","-","無","0.50","716","10","6.70 %","-","6","1,800","-0.69 %","信用","0.00"
"ＴＨＥＷＨＹＨＯＷＤＯ","3823","東証","○","-","-","0","02/24","有","0.10","32","2","6.66 %","-","79","940,000","0.00 %","信用","0.00"
"ＡＢＥＪＡ","5574","東証","○","-","-","2,400","-","無","6.00","2,276","154","6.60 %","-","601","119,500","0.00 %","信用","0.00"
"ＭＡＲＵＷＡ","5344","東証","○","-","○","1,600","03/29","有","0.00","73,700","630","6.59 %","-","870","133,200","-3.33 %","貸借","3.25"
"上村工業","4966","東証","○","-","-","600","-","無","0.70","26,630","880","6.52 %","-","240","44,500","-6.23 %","信用","0.00"
"ダイヘン","6622","東証","○","-","○","1,500","-","無","0.00","17,000","-130","6.51 %","-","1,191","219,500","-10.05 %","貸借","0.00"
"イビデン","4062","東証","○","-","○","34,900","-","無","0.00","23,345","-75","6.50 %","-","39,140","8,723,400","-15.04 %","貸借","0.00"
"東洋炭素","5310","東証","○","-","-","1,400","-","無","0.00","7,710","320","6.49 %","-","545","124,600","-0.89 %","貸借","0.00"
"サイエンスアーツ","4412","東証","○","-","-","400","-","無","1.00","1,280","108","6.48 %","-","259","50,200","-0.15 %","信用","0.00"
"ボルテージ","3639","東証","○","-","-","0","12/28","有","0.20","231","16","6.45 %","-","77","28,800","-0.85 %","貸借","0.00"
"日本マイクロニクス","6871","東証","○","-","○","20,600","-","無","0.00","16,000","180","6.45 %","-","4,798","1,187,000","-11.99 %","貸借","0.00"
"アストロスケールホールディンク","186A","東証","○","-","-","15,200","-","無","1.10","1,218","94","6.37 %","-","7,129","4,762,300","-0.49 %","貸借","0.00"
"三菱瓦斯化学","4182","東証","○","-","○","17,800","-","無","0.00","4,973","125","6.37 %","-","3,452","892,600","-4.64 %","貸借","0.00"
"ビープラッツ","4381","東証","○","-","-","500","-","無","0.10","184","10","6.35 %","-","58","19,600","0.00 %","-","0.00"
"ＦＩＧ","4392","東証","○","-","-","10,400","12/28","有","2.80","1,171","56","6.35 %","-","2,425","1,002,900","-1.18 %","貸借","0.00"
"インバウンドテック","7031","東証","○","-","-","100","-","無","0.40","670","30","6.34 %","-","7","4,000","0.00 %","信用","0.00"
"ＺＥＮＭＵＴＥＣＨ","338A","東証","○","-","-","2,100","-","無","7.50","2,309","154","6.25 %","-","506","105,400","-0.60 %","信用","0.00"
"関東電化","4047","東証","○","-","○","6,700","-","無","0.00","3,480","135","6.25 %","-","1,517","613,600","-4.78 %","貸借","0.00"
"イノテック","9880","東証","○","-","○","18,400","-","無","0.20","3,820","45","6.25 %","-","561","148,400","-7.28 %","信用","0.00"
"東京精密","7729","東証","○","-","○","5,700","-","無","0.00","19,370","260","6.22 %","-","4,462","855,300","-9.10 %","貸借","0.00"
"アイサンテクノロジー","4667","東証","○","-","-","900","09/28","有","0.60","2,170","164","6.21 %","-","213","42,900","0.00 %","信用","0.00"
"シンデン・ハイテックス","3131","東証","○","-","-","1,000","-","無","2.60","4,025","165","6.20 %","-","255","50,100","-0.37 %","信用","0.00"
"富士紡ホールディングス","3104","東証","○","-","○","6,900","-","無","0.00","4,490","120","6.14 %","-","608","221,900","-2.91 %","貸借","0.00"
"菊池製作所","3444","東証","○","-","-","0","-","無","2.20","1,200","73","6.10 %","-","1,247","309,400","-6.17 %","貸借","0.00"
"有沢製作所","5208","東証","○","-","○","26,500","-","無","0.00","2,786","60","6.09 %","-","886","186,800","-0.42 %","貸借","0.00"
"ＡＫＩＢＡホールディングス","6840","東証","○","-","-","7,000","-","無","0.40","766","14","6.09 %","-","753","260,000","-4.84 %","信用","0.00"
"木村工機","6231","東証","○","-","-","0","-","無","0.60","12,350","650","6.00 %","-","129","20,100","0.00 %","信用","0.00"
"ダブル・スコープ","6619","東証","○","-","-","25,100","-","無","0.00","195","10","5.97 %","-","635","2,364,000","-2.50 %","貸借","0.00"
"河西工業","7256","東証","○","-","-","0","-","無","0.30","444","17","5.96 %","-","653","302,200","0.00 %","貸借","0.00"
"ラサ工業","4022","東証","○","-","○","28,100","-","無","0.00","2,083","31","5.95 %","-","3,813","1,061,200","-5.10 %","貸借","0.00"
"ＷＯＬＶＥＳＨＡＮＤ","194A","東証","○","-","-","0","-","無","2.20","1,497","24","5.94 %","-","132","23,200","-0.06 %","信用","0.00"
"タムラ製作所","6768","東証","○","-","○","52,900","-","無","0.00","939","28","5.86 %","-","1,368","1,015,800","-2.49 %","貸借","0.00"
"日置電機","6866","東証","○","-","○","2,900","-","無","0.00","12,110","70","5.85 %","-","270","55,800","-3.88 %","貸借","0.00"
"ＪＤＳＣ","4418","東証","○","-","-","2,600","-","無","0.60","762","41","5.83 %","-","695","260,700","0.00 %","貸借","0.00"
"ダントーホールディングス","5337","東証","○","-","-","0","-","無","2.30","876","40","5.79 %","-","96","35,200","-1.35 %","貸借","0.00"
"ダイニチ工業","5951","東証","○","-","-","500","-","無","0.00","1,242","69","5.79 %","-","187","51,600","0.00 %","貸借","0.10"
"ＶＲＡＩＮＳＯＬＵＴＩＯＮ","135A","東証","○","-","-","1,100","-","無","9.90","4,570","245","5.78 %","-","492","108,200","-0.43 %","貸借","0.00"
"ヒット","378A","東証","○","-","-","1,100","-","無","0.90","1,098","78","5.78 %","-","207","53,400","0.00 %","信用","0.00"
"武蔵精密工業","7220","東証","○","-","○","10,700","-","無","0.00","4,125","175","5.76 %","-","3,189","1,289,200","-0.24 %","貸借","0.00"
"ＱＰＳホールディングス","464A","東証","○","-","-","0","-","無","2.20","2,098","115","5.74 %","-","4,849","1,696,900","-0.66 %","貸借","0.00"
"ＹＫＴ","2693","東証","○","-","-","3,900","-","無","0.10","369","17","5.73 %","-","354","192,200","0.00 %","信用","0.00"
"ヨコオ","6800","東証","○","-","○","3,900","-","無","0.00","5,720","-80","5.73 %","-","642","175,900","-9.63 %","貸借","0.00"
"北陸電気工業","6989","東証","○","-","-","200","-","無","0.00","2,749","190","5.73 %","-","97","15,800","0.00 %","貸借","0.00"
"日機装","6376","東証","○","-","○","52,900","-","無","0.00","4,060","130","5.72 %","-","898","335,700","-1.81 %","貸借","0.00"
"日本ギア工業","6356","東証","○","-","-","4,900","-","無","0.00","1,647","120","5.71 %","-","1,934","487,000","-1.25 %","貸借","0.05"
"広栄化学","4367","東証","○","-","-","300","-","無","0.00","2,749","198","5.69 %","-","170","24,600","-0.21 %","貸借","0.00"
"ユニオンツール","6278","東証","○","-","○","5,300","12/28","有","0.00","22,130","590","5.68 %","-","1,165","190,900","-4.15 %","貸借","0.00"
"古野電気","6814","東証","○","-","○","15,500","-","無","0.00","6,150","330","5.67 %","-","1,086","384,100","-0.80 %","貸借","0.00"
"トリケミカル","4369","東証","○","-","○","2,500","-","無","0.00","3,635","95","5.66 %","-","1,504","616,500","-1.22 %","貸借","0.00"
"ハイパー","3054","東証","○","-","-","400","-","無","0.10","244","12","5.62 %","-","43","16,000","-1.21 %","信用","0.00"
"アツギ","3529","東証","○","-","-","2,900","09/28","有","0.00","1,109","53","5.61 %","-","674","167,500","-0.80 %","貸借","0.05"
"ＪＰＸスタートアップ１００","526A","東証","○","-","-","0","-","無","2.00","1,937","63","5.61 %","-","105","7,392","-3.15 %","信用","0.00"
"ＡＮＡＰホールディングス","3189","東証","○","-","-","5,700","08/27","有","0.40","113","3","5.60 %","-","138","144,500","-8.87 %","信用","0.00"
"岡本工作","6125","東証","○","-","-","1,700","-","無","0.30","5,670","200","5.58 %","-","346","84,700","-2.74 %","信用","0.00"
"山王","3441","東証","○","-","-","1,400","-","無","2.00","3,410","70","5.57 %","-","346","68,100","-3.39 %","信用","0.00"
"ニデック","6594","東証","○","-","-","55,500","09/28","有","0.00","2,787","109","5.56 %","-","11,105","5,546,500","-0.88 %","貸借","0.00"
"ＡＣＳＬ","6232","東証","○","-","-","5,400","-","無","10.60","1,850","116","5.53 %","-","2,246","535,500","-0.59 %","貸借","0.05"
"ジェイテックコーポレーション","3446","東証","○","-","-","500","-","無","0.00","1,873","98","5.52 %","-","162","30,400","-0.89 %","貸借","0.10"
"ＳＰＥＥＥ","4499","東証","○","-","-","1,400","-","無","2.90","2,144","82","5.51 %","-","625","134,600","-3.72 %","貸借","0.05"
"テクノフレックス","3449","東証","○","-","-","3,200","-","無","0.00","8,060","-180","5.49 %","-","1,429","321,900","-21.74 %","貸借","0.00"
"ブルーイノベーション","5597","東証","○","-","-","0","-","無","2.80","1,388","68","5.47 %","-","172","31,700","0.00 %","信用","0.00"
"ほぼ日","3560","東証","○","-","-","100","08/27","有","2.50","4,490","20","5.39 %","-","28","6,300","0.00 %","信用","0.00"
"フラー","387A","東証","○","-","-","200","-","無","1.00","960","64","5.37 %","-","43","8,500","-0.82 %","信用","0.00"
"グローバルウェイ","3936","東証","○","-","-","6,800","-","無","0.20","157","5","5.36 %","-","178","253,100","0.00 %","信用","0.00"
"ＮＦタイ株","1559","東証","○","-","-","9","-","無","0.00","4,925","180","5.34 %","-","41","895","-0.08 %","貸借","0.00"
"大真空","6962","東証","○","-","-","0","-","無","0.00","946","15","5.34 %","-","1,789","731,300","-2.27 %","貸借","0.00"
"ＲＯＢＯＴＰＡＹＭＥＮＴ","4374","東証","○","-","-","200","09/28","有","8.50","2,428","94","5.33 %","-","36","6,500","0.00 %","信用","0.00"
"ＳＱＵＥＥＺＥ","558A","東証","○","-","-","500","-","無","5.10","4,540","245","5.33 %","-","146","21,000","-0.43 %","信用","0.00"
"ＬＩＮＫＸ","584A","東証","○","-","-","500","-","無","2.50","2,522","-273","5.30 %","-","10,388","1,784,300","-60.22 %","信用","0.00"
"宮入バルブ","6495","東証","○","-","-","3,300","-","無","0.10","139","7","5.30 %","-","135","165,800","0.00 %","信用","0.00"
"プラスアルファ・コンサルティン","4071","東証","○","-","○","15,400","-","無","0.00","2,906","196","5.28 %","-","2,309","531,500","-0.06 %","貸借","0.05"
"住友精化","4008","東証","○","-","○","0","09/28","有","0.00","1,376","71","5.27 %","-","625","289,600","-0.57 %","貸借","0.00"
"ラウンドワン","4680","東証","○","-","○","0","09/28","有","0.00","1,256.5","65.5","5.27 %","-","8,165","4,746,200","-1.91 %","貸借","0.00"
"新コスモス電機","6824","東証","○","-","-","700","-","無","2.60","5,790","340","5.27 %","-","208","31,800","-1.19 %","信用","0.00"
"ＣＨＯＲＤＩＡＴＨＥＲＡＰＥＵ","190A","東証","○","-","-","11,700","-","無","0.20","80","4","5.26 %","-","284","582,100","-4.76 %","信用","0.00"
"オンコセラピー・サイエンス","4564","東証","○","-","-","1,531,400","-","無","0.10","20","1","5.26 %","-","107","194,553,200","0.00 %","貸借","0.00"
"モンスターラボ","5255","東証","○","-","-","0","-","無","0.30","80","4","5.26 %","-","135","265,700","-3.61 %","信用","0.00"
"黒田グループ","287A","東証","○","-","-","23,900","-","無","0.60","1,101","54","5.25 %","-","1,411","1,192,300","-0.54 %","信用","0.00"
"双葉電子工業","6986","東証","○","-","○","12,300","-","無","0.00","582","22","5.24 %","-","463","255,300","-0.17 %","貸借","0.00"
"くすりの窓口","5592","東証","○","-","-","3,600","-","無","1.40","2,350","92","5.23 %","-","483","101,000","-1.01 %","信用","0.00"
"ＹＥＤＩＧＩＴＡＬ","2354","東証","○","-","-","6,700","-","無","0.10","846","56","5.22 %","-","653","335,300","-0.23 %","信用","0.00"
"トーメンデバイス","2737","東証","○","-","-","2,000","09/28","有","2.30","16,730","30","5.22 %","-","567","97,600","-8.57 %","信用","0.00"
"シンクロ・フード","3963","東証","○","-","-","1,400","-","無","0.00","322","16","5.22 %","-","239","137,500","-0.61 %","貸借","0.05"
"ＳＡＮＴＥＣＨＯＬＤＩＮＧＳ","6777","東証","○","-","-","3,100","-","無","3.50","23,350","-350","5.18 %","-","947","153,900","-16.30 %","信用","0.00"
"ＨＯＤＬ１","2345","東証","○","-","-","6,600","-","無","0.20","122","10","5.17 %","-","147","243,000","0.00 %","信用","0.00"
"ＧＸ半導体日株","2644","東証","○","-","-","25,702","-","無","0.00","5,009","176","5.16 %","-","17,805","2,570,206","-5.27 %","貸借","0.00"
"シンフォニアテクノロジー","6507","東証","○","-","○","6,300","-","無","0.00","15,690","370","5.16 %","-","750","128,100","-5.65 %","貸借","0.00"
"アンリツ","6754","東証","○","-","○","38,300","-","無","0.00","4,500","80","5.14 %","-","6,725","1,501,900","-5.54 %","貸借","0.00"
"ルネサスエレクトロニクス","6723","東証","○","-","○","88,300","-","無","0.00","4,820","-22","5.12 %","-","38,929","12,933,200","-7.21 %","貸借","0.00"
"横河電機","6841","東証","○","-","○","9,100","-","無","0.00","5,812","228","5.09 %","-","3,902","986,600","0.00 %","貸借","0.00"
"メック","4971","東証","○","-","○","7,500","12/28","有","0.00","10,360","50","5.07 %","-","1,888","381,700","-7.99 %","貸借","0.00"
"ＡＩロボティクス","247A","東証","○","-","-","9,100","09/28","有","1.50","851","47","5.06 %","-","2,108","1,508,500","0.00 %","信用","0.00"
"アンドエスティＨＤ","2685","東証","○","-","○","0","08/27","有","0.00","3,530","130","5.05 %","-","1,023","486,200","-2.08 %","貸借","0.10"
"アイビー化粧品","4918","東証","○","-","-","8,100","-","無","0.20","353","2","5.05 %","-","688","402,600","-4.33 %","信用","0.00"
"フジクラ","5803","東証","○","-","○","457,300","-","無","0.00","5,358","-10","5.05 %","-","107,819","42,677,500","-16.68 %","貸借","0.00"
"インフォマート","2492","東証","○","-","○","101,100","-","無","0.00","479","79","5.04 %","-","5,006","8,572,500","-0.20 %","貸借","0.00"
"ブロードバンドタワー","3776","東証","○","-","-","17,700","-","無","0.10","292","12","5.03 %","-","432","881,100","-1.01 %","信用","0.00"
"サイバーステップホールディ","3810","東証","○","-","-","24,500","-","無","0.30","188","4","5.02 %","-","543","1,223,300","-3.58 %","信用","0.00"
"ＶＡＬＵＥＮＥＸ","4422","東証","○","-","-","0","-","無","1.00","585","28","5.02 %","-","226","66,300","0.00 %","信用","0.00"
"野村マイクロ・サイエンス","6254","東証","○","-","-","12,700","-","無","0.00","4,915","215","5.02 %","-","3,223","1,097,300","-7.95 %","貸借","0.00"
"マテリアルグループ","156A","東証","○","-","-","800","-","無","0.00","903","44","5.00 %","-","190","76,200","0.00 %","貸借","0.00"
