受渡日,約定日,商品等,取引種類,銘柄名（ファンド名）,銘柄コード,口座,数量,単価,支払（出金）,預り（入金）,MRF・お預り金残高,摘要
2020/1/15,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"8,520","+8,520(前日比)"
2020/1/15,---,利金（国内債券）,利金*,個人国債　　　１１１,-,特定,"43,000,000",---,---,"8,520",---,
2020/7/15,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"17,087","+8,567(前日比)"
2020/7/15,---,利金（国内債券）,利金*,個人国債　　　１１１,-,特定,"43,000,000",---,---,"8,567",---,
2020/7/21,2020/7/17,国内債券,売却,個人向け国債（変動・１０年）第１１１回,-,特定,"43,000,000",100,---,"42,983,268",---,
2020/7/21,2020/7/21,MRF・MMFなど,解約,日興ＭＲＦ,-,特定,"43,000,355","10,000",---,"43,000,355",---,
2020/7/21,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,0,"-17,087(前日比)"
2020/7/21,---,入出金,出金,---,-,-,---,---,"43,000,355",---,---,振込
2021/1/5,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"3,398","+3,398(前日比)"
2021/1/5,---,入出金,入金,---,-,-,---,---,---,"2,562",---,特定口座配当等通算還付金
2021/1/5,---,入出金,入金,---,-,-,---,---,---,836,---,特定口座配当等通算地方税還付金
2023/2/20,2023/2/20,MRF・MMFなど,解約,日興ＭＲＦ,-,特定,"3,398","10,000",---,"3,398",---,
2023/2/20,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,0,"-3,398(前日比)"
2023/2/20,---,入出金,入金,---,-,-,---,---,---,"1,000",---,ＳＭＢＣ即時入金
2023/2/20,---,入出金,出金,---,-,-,---,---,"1,000",---,---,ＳＭＢＣ即時出金
2023/2/20,---,入出金,出金,---,-,-,---,---,"3,398",---,---,イージートレード出金
2023/2/27,---,入出金,振替,---,-,-,---,---,---,"300,000",---,信用保証金から
2023/2/27,---,入出金,入金,---,-,-,---,---,---,"3,000,000",---,ＳＭＢＣ即時入金
2023/2/27,---,入出金,振替,---,-,-,---,---,"300,000",---,---,信用保証金へ
2023/2/27,---,入出金,出金,---,-,-,---,---,"3,000,000",---,---,イージートレード出金
2023/3/1,---,入出金,入金,---,-,-,---,---,---,"3,000,000",---,ＳＭＢＣ即時入金
2023/3/1,---,入出金,出金,---,-,-,---,---,"3,000,000",---,---,ＳＭＢＣ即時出金
2023/3/3,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"1,662,020","+1,662,020(前日比)"
2023/3/3,---,入出金,入金,---,-,-,---,---,---,"2,000,000",---,ＳＭＢＣ即時入金
2023/3/3,---,入出金,振替,---,-,-,---,---,"337,980",---,---,信用保証金へ
2023/3/6,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"462,816","-1,199,204(前日比)"
2023/3/6,---,入出金,振替,---,-,-,---,---,"1,199,204",---,---,信用保証金へ
2023/3/7,2023/3/3,信用,新規売り,クオールＨＤ,3034,特定,100,"1,184",---,---,---,一般
2023/3/7,2023/3/3,信用,現引,クオールＨＤ,3034,特定,100,"1,184","118,408",---,---,"制度　建日:23/03/03　建値:1,184"
2023/3/7,2023/3/3,信用,新規買い,クオールＨＤ,3034,特定,100,"1,184",---,---,---,制度
2023/3/7,2023/3/3,信用,新規売り,さくらインターネ,3778,特定,100,609,---,---,---,一般
2023/3/7,2023/3/3,信用,新規買い,さくらインターネ,3778,特定,100,609,---,---,---,制度
2023/3/7,2023/3/3,信用,現引,さくらインターネ,3778,特定,100,609,"60,904",---,---,制度　建日:23/03/03　建値:609
2023/3/7,2023/3/3,信用,新規売り,三菱ロジスネクス,7105,特定,100,829,---,---,---,一般
2023/3/7,2023/3/3,信用,現引,三菱ロジスネクス,7105,特定,100,829,"82,905",---,---,制度　建日:23/03/03　建値:829
2023/3/7,2023/3/3,信用,新規買い,三菱ロジスネクス,7105,特定,100,829,---,---,---,制度
2023/3/7,2023/3/3,信用,新規売り,ミツバ,7280,特定,100,536,---,---,---,一般
2023/3/7,2023/3/3,信用,新規買い,ミツバ,7280,一般,100,536,---,---,---,制度
2023/3/7,2023/3/3,信用,現引,ミツバ,7280,一般,100,536,"53,603",---,---,制度　建日:23/03/03　建値:536
2023/3/7,2023/3/3,信用,新規売り,丸三証券,8613,特定,100,434,---,---,---,一般
2023/3/7,2023/3/3,信用,現引,丸三証券,8613,特定,100,434,"43,402",---,---,制度　建日:23/03/03　建値:434
2023/3/7,2023/3/3,信用,新規買い,丸三証券,8613,特定,100,434,---,---,---,制度
2023/3/7,2023/3/3,信用,新規売り,安田倉庫,9324,特定,100,"1,027",---,---,---,一般
2023/3/7,2023/3/3,信用,現引,安田倉庫,9324,特定,100,"1,027","102,707",---,---,"制度　建日:23/03/03　建値:1,027"
2023/3/7,2023/3/3,信用,新規買い,安田倉庫,9324,特定,100,"1,027",---,---,---,制度
2023/3/7,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"1,000,887","+538,071(前日比)"
2023/3/7,---,入出金,入金,---,-,-,---,---,---,"1,000,000",---,ＳＭＢＣ即時入金
2023/3/8,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,0,"-1,000,887(前日比)"
2023/3/8,---,入出金,入金,---,-,-,---,---,---,"2,000,000",---,ＳＭＢＣ即時入金
2023/3/8,---,入出金,振替,---,-,-,---,---,"700,000",---,---,信用保証金へ
2023/3/8,---,入出金,振替,---,-,-,---,---,"2,094,751",---,---,信用保証金へ
2023/3/8,---,入出金,振替,---,-,-,---,---,"206,136",---,---,信用保証金へ
2023/3/9,2023/3/7,信用,現渡,ミツバ,7280,一般,100,536,---,"53,594",---,一般　建日:23/03/03　建値:536
2023/3/9,2023/3/7,信用,現渡,安田倉庫,9324,特定,100,"1,027",---,"102,689",---,"一般　建日:23/03/03　建値:1,027"
2023/3/9,---,入出金,入金,---,-,-,---,---,---,"5,000,000",---,ＳＭＢＣ即時入金
2023/3/9,---,入出金,入金,---,-,-,---,---,---,"5,000,000",---,ＳＭＢＣ即時入金
2023/3/9,---,入出金,振替,---,-,-,---,---,"5,000,000",---,---,信用保証金へ
2023/3/9,---,入出金,振替,---,-,-,---,---,"156,283",---,---,信用保証金へ
2023/3/9,---,入出金,振替,---,-,-,---,---,"5,000,000",---,---,信用保証金へ
2023/3/10,---,入出金,入金,---,-,-,---,---,---,"5,000,000",---,ＳＭＢＣ即時入金
2023/3/10,---,入出金,振替,---,-,-,---,---,"5,000,000",---,---,信用保証金へ
2023/3/13,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"3,000","+3,000(前日比)"
2023/3/13,---,入出金,振替,---,-,-,---,---,---,"1,000",---,信用保証金から
2023/3/13,---,入出金,振替,---,-,-,---,---,---,"2,000",---,信用保証金から
2023/3/13,---,入出金,入金,---,-,-,---,---,---,"5,000,000",---,ＳＭＢＣ即時入金
2023/3/13,---,入出金,振替,---,-,-,---,---,"5,000,000",---,---,信用保証金へ
2023/3/14,2023/3/10,信用,新規売り,高松Ｇ,1762,特定,100,"2,050",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,高松Ｇ,1762,特定,100,"2,050","205,014",---,---,"制度　建日:23/03/10　建値:2,050"
2023/3/14,2023/3/10,信用,新規買い,高松Ｇ,1762,特定,100,"2,050",---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,明星工業,1976,特定,100,814,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,明星工業,1976,特定,100,814,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,明星工業,1976,特定,100,814,"81,405",---,---,制度　建日:23/03/10　建値:814
2023/3/14,2023/3/10,信用,新規売り,日本ハム,2282,特定,100,"3,845",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,日本ハム,2282,特定,100,"3,845",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,日本ハム,2282,特定,100,"3,845","384,526",---,---,"制度　建日:23/03/10　建値:3,845"
2023/3/14,2023/3/10,信用,新規売り,フジッコ,2908,特定,100,"1,882",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,フジッコ,2908,特定,100,"1,882",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,フジッコ,2908,特定,100,"1,882","188,212",---,---,"制度　建日:23/03/10　建値:1,882"
2023/3/14,2023/3/10,信用,新規売り,ＴＯＫＡＩ　ＨＤ,3167,特定,100,891,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,ＴＯＫＡＩ　ＨＤ,3167,特定,100,891,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,ＴＯＫＡＩ　ＨＤ,3167,特定,100,891,"89,106",---,---,制度　建日:23/03/10　建値:891
2023/3/14,2023/3/10,信用,新規売り,ｅＢＡＳＥ,3835,特定,100,693,---,---,---,一般
2023/3/14,2023/3/10,信用,現引,ｅＢＡＳＥ,3835,特定,100,693,"69,304",---,---,制度　建日:23/03/10　建値:693
2023/3/14,2023/3/10,信用,新規買い,ｅＢＡＳＥ,3835,特定,100,693,---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,ＤＮＣ,4246,特定,100,685,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,ＤＮＣ,4246,特定,100,685,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,ＤＮＣ,4246,特定,100,685,"68,504",---,---,制度　建日:23/03/10　建値:685
2023/3/14,2023/3/10,信用,新規売り,ＢＭＬ,4694,特定,100,"3,200",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,ＢＭＬ,4694,特定,100,"3,200",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,ＢＭＬ,4694,特定,100,"3,200","320,021",---,---,"制度　建日:23/03/10　建値:3,200"
2023/3/14,2023/3/10,信用,新規売り,ＯＢＣ,4733,特定,100,"4,900",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,ＯＢＣ,4733,特定,100,"4,900",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,ＯＢＣ,4733,特定,100,"4,900","490,033",---,---,"制度　建日:23/03/10　建値:4,900"
2023/3/14,2023/3/10,信用,新規売り,共英製鋼,5440,特定,100,"1,627",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,共英製鋼,5440,特定,100,"1,627",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,共英製鋼,5440,特定,100,"1,627","162,711",---,---,"制度　建日:23/03/10　建値:1,627"
2023/3/14,2023/3/10,信用,新規売り,コロナ,5909,特定,100,929,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,コロナ,5909,特定,100,929,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,コロナ,5909,特定,100,929,"92,906",---,---,制度　建日:23/03/10　建値:929
2023/3/14,2023/3/10,信用,新規売り,エイチワン,5989,特定,100,669,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,エイチワン,5989,特定,100,669,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,エイチワン,5989,特定,100,669,"66,904",---,---,制度　建日:23/03/10　建値:669
2023/3/14,2023/3/10,信用,新規売り,日精樹脂,6293,特定,100,"1,041",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,日精樹脂,6293,特定,100,"1,041","104,107",---,---,"制度　建日:23/03/10　建値:1,041"
2023/3/14,2023/3/10,信用,新規買い,日精樹脂,6293,特定,100,"1,041",---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,ＴＰＲ,6463,特定,100,"1,440",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,ＴＰＲ,6463,特定,100,"1,440","144,009",---,---,"制度　建日:23/03/10　建値:1,440"
2023/3/14,2023/3/10,信用,新規買い,ＴＰＲ,6463,特定,100,"1,440",---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,前沢給装,6485,特定,100,"1,016",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,前沢給装,6485,特定,100,"1,016",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,前沢給装,6485,特定,100,"1,016","101,606",---,---,"制度　建日:23/03/10　建値:1,016"
2023/3/14,2023/3/10,信用,新規売り,デンヨー,6517,特定,100,"1,679",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,デンヨー,6517,特定,100,"1,679","167,911",---,---,"制度　建日:23/03/10　建値:1,679"
2023/3/14,2023/3/10,信用,新規買い,デンヨー,6517,特定,100,"1,679",---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,大同メタル,7245,特定,100,525,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,大同メタル,7245,特定,100,525,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,大同メタル,7245,特定,100,525,"52,503",---,---,制度　建日:23/03/10　建値:525
2023/3/14,2023/3/10,信用,新規売り,ミツバ,7280,特定,100,532,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,ミツバ,7280,特定,100,532,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,ミツバ,7280,特定,100,532,"53,203",---,---,制度　建日:23/03/10　建値:532
2023/3/14,2023/3/10,信用,新規売り,アドヴァンＧ,7463,特定,100,962,---,---,---,一般
2023/3/14,2023/3/10,信用,現引,アドヴァンＧ,7463,特定,100,962,"96,206",---,---,制度　建日:23/03/10　建値:962
2023/3/14,2023/3/10,信用,新規買い,アドヴァンＧ,7463,特定,100,962,---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,アルビス,7475,特定,100,"2,479",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,アルビス,7475,特定,100,"2,479","247,916",---,---,"制度　建日:23/03/10　建値:2,479"
2023/3/14,2023/3/10,信用,新規買い,アルビス,7475,特定,100,"2,479",---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,シモジマ,7482,特定,100,"1,017",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,シモジマ,7482,特定,100,"1,017","101,706",---,---,"制度　建日:23/03/10　建値:1,017"
2023/3/14,2023/3/10,信用,新規買い,シモジマ,7482,特定,100,"1,017",---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,プロネクサス,7893,特定,100,984,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,プロネクサス,7893,特定,100,984,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,プロネクサス,7893,特定,100,984,"98,406",---,---,制度　建日:23/03/10　建値:984
2023/3/14,2023/3/10,信用,新規売り,いなげや,8182,特定,100,"1,344",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,いなげや,8182,特定,100,"1,344","134,411",---,---,"一般　建日:23/03/10　建値:1,344"
2023/3/14,2023/3/10,信用,新規買い,いなげや,8182,特定,100,"1,344",---,---,---,一般
2023/3/14,2023/3/10,信用,新規売り,南都銀行,8367,特定,100,"2,758",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,南都銀行,8367,特定,100,"2,758",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,南都銀行,8367,特定,100,"2,758","275,818",---,---,"制度　建日:23/03/10　建値:2,758"
2023/3/14,2023/3/10,信用,新規売り,山口ＦＧ,8418,特定,100,946,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,山口ＦＧ,8418,特定,100,946,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,山口ＦＧ,8418,特定,100,946,"94,606",---,---,制度　建日:23/03/10　建値:946
2023/3/14,2023/3/10,信用,新規売り,名古屋銀,8522,特定,100,"3,580",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,名古屋銀,8522,特定,100,"3,580",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,名古屋銀,8522,特定,100,"3,580","358,024",---,---,"制度　建日:23/03/10　建値:3,580"
2023/3/14,2023/3/10,信用,新規売り,丸三証券,8613,特定,100,444,---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,丸三証券,8613,特定,100,444,---,---,---,制度
2023/3/14,2023/3/10,信用,現引,丸三証券,8613,特定,100,444,"44,403",---,---,制度　建日:23/03/10　建値:444
2023/3/14,2023/3/10,信用,新規売り,ＪＰＸ,8697,特定,100,"2,012",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,ＪＰＸ,8697,特定,100,"2,012","201,213",---,---,"制度　建日:23/03/10　建値:2,012"
2023/3/14,2023/3/10,信用,新規買い,ＪＰＸ,8697,特定,100,"2,012",---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,平和不動,8803,特定,100,"3,840",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,平和不動,8803,特定,100,"3,840",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,平和不動,8803,特定,100,"3,840","384,026",---,---,"制度　建日:23/03/10　建値:3,840"
2023/3/14,2023/3/10,信用,新規売り,フジ住宅,8860,特定,"1,000",699,---,---,---,一般
2023/3/14,2023/3/10,信用,現引,フジ住宅,8860,特定,"1,000",699,"699,047",---,---,制度　建日:23/03/10　建値:699
2023/3/14,2023/3/10,信用,新規買い,フジ住宅,8860,特定,"1,000",699,---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,安田倉庫,9324,特定,100,"1,054",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,安田倉庫,9324,特定,100,"1,054",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,安田倉庫,9324,特定,100,"1,054","105,407",---,---,"制度　建日:23/03/10　建値:1,054"
2023/3/14,2023/3/10,信用,新規売り,ＴＢＳＨＤ,9401,特定,100,"1,899",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,ＴＢＳＨＤ,9401,特定,100,"1,899",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,ＴＢＳＨＤ,9401,特定,100,"1,899","189,913",---,---,"制度　建日:23/03/10　建値:1,899"
2023/3/14,2023/3/10,信用,新規売り,ＫＤＤＩ,9433,特定,100,"4,169",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,ＫＤＤＩ,9433,特定,100,"4,169",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,ＫＤＤＩ,9433,特定,100,"4,169","416,928",---,---,"制度　建日:23/03/10　建値:4,169"
2023/3/14,2023/3/10,信用,新規売り,イチネンＨＤ,9619,特定,100,"1,340",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,イチネンＨＤ,9619,特定,100,"1,340","134,009",---,---,"制度　建日:23/03/10　建値:1,340"
2023/3/14,2023/3/10,信用,新規買い,イチネンＨＤ,9619,特定,100,"1,340",---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,学究社,9769,特定,100,"2,020",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,学究社,9769,特定,100,"2,020",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,学究社,9769,特定,100,"2,020","202,013",---,---,"制度　建日:23/03/10　建値:2,020"
2023/3/14,2023/3/10,信用,新規売り,ベネッセＨＤ,9783,特定,100,"2,037",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,ベネッセＨＤ,9783,特定,100,"2,037","203,713",---,---,"制度　建日:23/03/10　建値:2,037"
2023/3/14,2023/3/10,信用,新規買い,ベネッセＨＤ,9783,特定,100,"2,037",---,---,---,制度
2023/3/14,2023/3/10,信用,新規売り,日伝,9902,特定,100,"2,048",---,---,---,一般
2023/3/14,2023/3/10,信用,新規買い,日伝,9902,特定,100,"2,048",---,---,---,制度
2023/3/14,2023/3/10,信用,現引,日伝,9902,特定,100,"2,048","204,814",---,---,"制度　建日:23/03/10　建値:2,048"
2023/3/14,2023/3/10,信用,新規売り,サンドラッグ,9989,特定,100,"3,585",---,---,---,一般
2023/3/14,2023/3/10,信用,現引,サンドラッグ,9989,特定,100,"3,585","358,524",---,---,"制度　建日:23/03/10　建値:3,585"
2023/3/14,2023/3/10,信用,新規買い,サンドラッグ,9989,特定,100,"3,585",---,---,---,制度
2023/3/14,---,入出金,振替,---,-,-,---,---,---,"7,393,088",---,信用保証金から
2023/3/15,2023/3/13,信用,新規売り,ＷＤＢ,2475,特定,100,"2,019",---,---,---,一般
2023/3/15,2023/3/13,信用,新規買い,ＷＤＢ,2475,特定,100,"2,019",---,---,---,制度
2023/3/15,2023/3/13,信用,現引,ＷＤＢ,2475,特定,100,"2,019","201,913",---,---,"制度　建日:23/03/13　建値:2,019"
2023/3/15,2023/3/13,信用,新規売り,不二製油Ｇ,2607,特定,100,"1,941",---,---,---,一般
2023/3/15,2023/3/13,信用,現引,不二製油Ｇ,2607,特定,100,"1,941","194,115",---,---,"一般　建日:23/03/13　建値:1,941"
2023/3/15,2023/3/13,信用,新規買い,不二製油Ｇ,2607,特定,100,"1,941",---,---,---,一般
2023/3/15,2023/3/13,信用,新規売り,Ｊオイル,2613,特定,100,"1,572",---,---,---,一般
2023/3/15,2023/3/13,信用,新規買い,Ｊオイル,2613,特定,100,"1,572",---,---,---,制度
2023/3/15,2023/3/13,信用,現引,Ｊオイル,2613,特定,100,"1,572","157,210",---,---,"制度　建日:23/03/13　建値:1,572"
2023/3/15,2023/3/13,信用,新規売り,カーリットＨＤ,4275,特定,100,710,---,---,---,一般
2023/3/15,2023/3/13,信用,現引,カーリットＨＤ,4275,特定,100,710,"71,004",---,---,制度　建日:23/03/13　建値:710
2023/3/15,2023/3/13,信用,新規買い,カーリットＨＤ,4275,特定,100,710,---,---,---,制度
2023/3/15,2023/3/13,信用,新規売り,マンダム,4917,特定,100,"1,480",---,---,---,一般
2023/3/15,2023/3/13,信用,新規買い,マンダム,4917,特定,100,"1,480",---,---,---,制度
2023/3/15,2023/3/13,信用,現引,マンダム,4917,特定,100,"1,480","148,010",---,---,"制度　建日:23/03/13　建値:1,480"
2023/3/15,2023/3/13,信用,新規売り,丸一鋼管,5463,特定,100,"2,990",---,---,---,一般
2023/3/15,2023/3/13,信用,新規買い,丸一鋼管,5463,特定,100,"2,990",---,---,---,制度
2023/3/15,2023/3/13,信用,現引,丸一鋼管,5463,特定,100,"2,990","299,020",---,---,"制度　建日:23/03/13　建値:2,990"
2023/3/15,2023/3/13,信用,新規売り,三和ＨＤ,5929,特定,100,"1,430",---,---,---,一般
2023/3/15,2023/3/13,信用,現引,三和ＨＤ,5929,特定,100,"1,430","143,009",---,---,"制度　建日:23/03/13　建値:1,430"
2023/3/15,2023/3/13,信用,新規買い,三和ＨＤ,5929,特定,100,"1,430",---,---,---,制度
2023/3/15,2023/3/13,信用,新規売り,日阪製作,6247,特定,300,949,---,---,---,一般
2023/3/15,2023/3/13,信用,新規買い,日阪製作,6247,特定,300,949,---,---,---,制度
2023/3/15,2023/3/13,信用,現引,日阪製作,6247,特定,300,949,"284,719",---,---,制度　建日:23/03/13　建値:949
2023/3/15,2023/3/13,信用,新規売り,平田機工,6258,特定,100,"6,610",---,---,---,一般
2023/3/15,2023/3/13,信用,現引,平田機工,6258,特定,100,"6,610","661,045",---,---,"制度　建日:23/03/13　建値:6,610"
2023/3/15,2023/3/13,信用,新規買い,平田機工,6258,特定,100,"6,610",---,---,---,制度
2023/3/15,2023/3/13,信用,新規売り,日ピラ工,6490,特定,100,"3,530",---,---,---,一般
2023/3/15,2023/3/13,信用,新規買い,日ピラ工,6490,特定,100,"3,530",---,---,---,制度
2023/3/15,2023/3/13,信用,現引,日ピラ工,6490,特定,100,"3,530","353,024",---,---,"制度　建日:23/03/13　建値:3,530"
2023/3/15,2023/3/13,信用,新規売り,メニコン,7780,特定,100,"2,838",---,---,---,一般
2023/3/15,2023/3/13,信用,新規買い,メニコン,7780,特定,100,"2,838",---,---,---,制度
2023/3/15,2023/3/13,信用,現引,メニコン,7780,特定,100,"2,838","283,819",---,---,"制度　建日:23/03/13　建値:2,838"
2023/3/15,2023/3/13,信用,新規売り,パラベッド,7817,特定,100,"2,391",---,---,---,一般
2023/3/15,2023/3/13,信用,新規買い,パラベッド,7817,特定,100,"2,391",---,---,---,制度
2023/3/15,2023/3/13,信用,現引,パラベッド,7817,特定,100,"2,391","239,116",---,---,"制度　建日:23/03/13　建値:2,391"
2023/3/15,2023/3/13,信用,新規売り,藤森工業,7917,特定,100,"3,235",---,---,---,一般
2023/3/15,2023/3/13,信用,現引,藤森工業,7917,特定,100,"3,235","323,522",---,---,"制度　建日:23/03/13　建値:3,235"
2023/3/15,2023/3/13,信用,新規買い,藤森工業,7917,特定,100,"3,235",---,---,---,制度
2023/3/15,2023/3/13,信用,新規売り,天馬,7958,特定,100,"2,334",---,---,---,一般
2023/3/15,2023/3/13,信用,現引,天馬,7958,特定,100,"2,334","233,415",---,---,"制度　建日:23/03/13　建値:2,334"
2023/3/15,2023/3/13,信用,新規買い,天馬,7958,特定,100,"2,334",---,---,---,制度
2023/3/15,2023/3/13,信用,新規売り,アル物流,9055,特定,100,"1,275",---,---,---,一般
2023/3/15,2023/3/13,信用,新規買い,アル物流,9055,特定,100,"1,275",---,---,---,制度
2023/3/15,2023/3/13,信用,現引,アル物流,9055,特定,100,"1,275","127,508",---,---,"制度　建日:23/03/13　建値:1,275"
2023/3/15,---,入出金,振替,---,-,-,---,---,---,"3,718,449",---,信用保証金から
2023/3/15,---,入出金,振替,---,-,-,---,---,---,"2,000",---,信用保証金から
2023/3/16,2023/3/14,信用,新規売り,福井銀行,8362,特定,300,"1,570",---,---,---,一般
2023/3/16,2023/3/14,信用,返済買い,福井銀行,8362,特定,200,"1,542",---,"5,588",---,"一般　建日:23/03/14　建値:1,570"
2023/3/16,2023/3/14,信用,返済買い,福井銀行,8362,特定,100,"1,544",---,"2,594",---,"一般　建日:23/03/14　建値:1,570"
2023/3/16,---,入出金,振替,---,-,-,---,---,"6,543",---,---,信用保証金へ
2023/3/16,---,入出金,出金,---,-,-,---,---,"1,236",---,---,特定口座源泉徴収
2023/3/16,---,入出金,出金,---,-,-,---,---,403,---,---,特定口座地方税源泉徴収
2023/3/17,2023/3/15,信用,新規売り,ホクト,1379,特定,100,"1,883",---,---,---,一般
2023/3/17,2023/3/15,信用,新規買い,ホクト,1379,特定,100,"1,883",---,---,---,制度
2023/3/17,2023/3/15,信用,現引,ホクト,1379,特定,100,"1,883","188,312",---,---,"制度　建日:23/03/15　建値:1,883"
2023/3/17,2023/3/15,信用,新規売り,伊藤ハム米久ＨＤ,2296,特定,"1,000",721,---,---,---,一般
2023/3/17,2023/3/15,信用,現引,伊藤ハム米久ＨＤ,2296,特定,"1,000",721,"721,049",---,---,制度　建日:23/03/15　建値:721
2023/3/17,2023/3/15,信用,新規買い,伊藤ハム米久ＨＤ,2296,特定,"1,000",721,---,---,---,制度
2023/3/17,2023/3/15,信用,新規売り,伊藤忠食,2692,特定,100,"4,990",---,---,---,一般
2023/3/17,2023/3/15,信用,現引,伊藤忠食,2692,特定,100,"4,990","499,034",---,---,"制度　建日:23/03/15　建値:4,990"
2023/3/17,2023/3/15,信用,新規買い,伊藤忠食,2692,特定,100,"4,990",---,---,---,制度
2023/3/17,2023/3/15,信用,新規売り,永谷園ＨＤ,2899,特定,100,"2,104",---,---,---,一般
2023/3/17,2023/3/15,信用,新規買い,永谷園ＨＤ,2899,特定,100,"2,104",---,---,---,制度
2023/3/17,2023/3/15,信用,現引,永谷園ＨＤ,2899,特定,100,"2,104","210,414",---,---,"制度　建日:23/03/15　建値:2,104"
2023/3/17,2023/3/15,信用,新規売り,ＴＯＫＡＩ　ＨＤ,3167,特定,200,869,---,---,---,一般
2023/3/17,2023/3/15,信用,新規買い,ＴＯＫＡＩ　ＨＤ,3167,特定,200,869,---,---,---,制度
2023/3/17,2023/3/15,信用,現引,ＴＯＫＡＩ　ＨＤ,3167,特定,200,869,"173,811",---,---,制度　建日:23/03/15　建値:869
2023/3/17,2023/3/15,信用,新規売り,石原ケミカル,4462,特定,200,"1,354",---,---,---,一般
2023/3/17,2023/3/15,信用,現引,石原ケミカル,4462,特定,200,"1,354","270,818",---,---,"制度　建日:23/03/15　建値:1,354"
