約定日,受渡日,銘柄コード,銘柄名,市場名称,口座区分,取引区分,売買区分,信用区分,弁済期限,数量［株］,単価［円］,手数料［円］,税金等［円］,諸費用［円］,税区分,受渡金額［円］,建約定日,建単価［円］,建手数料［円］,建手数料消費税［円］,金利（支払）〔円〕,金利（受取）〔円〕,逆日歩／特別空売り料（支払）〔円〕,逆日歩（受取）〔円〕,貸株料,事務管理費〔円〕（税抜）,名義書換料〔円〕（税抜）
2025/12/16,2025/12/18,4927,ポーラ・オルビスＨＤ,東証,特定,信用新規,売建,一般,無期限,400,"1,340.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2025/12/16,2025/12/18,5301,東海カーボン,東証,特定,現物,買付,-,-,100,954.5,0,0,0,-,"95,450",-,0,0,0,0,0,0,0,0,0,0
2025/12/16,2025/12/18,5301,東海カーボン,東証,特定,信用新規,売建,一般,無期限,100,954.5,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2025/12/16,2025/12/18,7272,ヤマハ発動機,東証,特定,現物,買付,-,-,100,"1,189.00",0,0,0,-,"118,900",-,0,0,0,0,0,0,0,0,0,0
2025/12/16,2025/12/18,7272,ヤマハ発動機,東証,特定,信用新規,売建,一般,無期限,100,"1,189.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2025/12/26,2025/12/30,2266,六甲バター,東証,特定,現物,買付,-,-,"1,000","1,244.00",0,0,0,-,"1,244,000",-,0,0,0,0,0,0,0,0,0,0
2025/12/26,2025/12/30,2266,六甲バター,東証,特定,信用新規,売建,一般,14日,"1,000","1,244.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2025/12/29,2026/1/5,2266,六甲バター,東証,特定,現渡,,一般,14日,"1,000",0,0,0,930,源徴あり,"1,243,070",2025/12/26,"1,244.00",0,0,0,0,0,0,930,0,0
2025/12/29,2026/1/5,3197,すかいらーくホールディングス,東証,特定,現渡,,一般,無期限,"1,000",0,0,0,"2,112",源徴あり,"3,502,888",2025/12/15,"3,505.00",0,0,0,0,0,0,"2,112",0,0
2025/12/29,2026/1/5,3950,ザ・パック,東証,特定,現渡,,一般,無期限,100,0,0,0,83,源徴あり,"125,217",2025/12/11,"1,253.00",0,0,0,0,0,0,83,0,0
2025/12/29,2026/1/5,4919,ミルボン,東証,特定,現渡,,一般,無期限,100,0,0,0,141,源徴あり,"247,459",2025/12/16,"2,476.00",0,0,0,0,0,0,141,0,0
2025/12/29,2026/1/5,4927,ポーラ・オルビスＨＤ,東証,特定,現渡,,一般,無期限,400,0,0,0,306,源徴あり,"535,694",2025/12/16,"1,340.00",0,0,0,0,0,0,306,0,0
2025/12/29,2026/1/5,4979,ＯＡＴアグリオ,東証,特定,現渡,,一般,無期限,100,0,0,0,167,源徴あり,"222,233",2025/12/10,"2,224.00",0,0,0,0,0,0,167,0,0
2025/12/29,2026/1/5,5301,東海カーボン,東証,特定,現渡,,一般,無期限,100,0,0,0,54,源徴あり,"95,396",2025/12/16,954.5,0,0,0,0,0,0,54,0,0
2025/12/29,2026/1/5,5957,日東精工,東証,特定,現渡,,一般,無期限,"1,000",0,0,0,516,源徴あり,"684,484",2025/12/10,685,0,0,0,0,0,0,516,0,0
2025/12/29,2026/1/5,7272,ヤマハ発動機,東証,特定,現渡,,一般,無期限,100,0,0,0,68,源徴あり,"118,832",2025/12/16,"1,189.00",0,0,0,0,0,0,68,0,0
2025/12/29,2026/1/5,7613,シークス,東証,特定,現渡,,一般,無期限,100,0,0,0,98,源徴あり,"130,602",2025/12/10,"1,307.00",0,0,0,0,0,0,98,0,0
2025/12/29,2026/1/5,8029,ルックホールディングス,東証,特定,現渡,,一般,無期限,100,0,0,10,517,源徴あり,"276,473",2025/11/13,"2,770.00",0,0,0,0,0,0,417,100,0
2026/1/15,2026/1/19,3391,ツルハホールディングス,東証,特定,現物,買付,-,-,100,"2,544.00",0,0,0,-,"254,400",-,0,0,0,0,0,0,0,0,0,0
2026/1/15,2026/1/19,3391,ツルハホールディングス,東証,特定,信用新規,売建,一般,無期限,100,"2,544.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/1/16,2026/1/20,7512,イオン北海道,東証,特定,現物,買付,-,-,"1,000",930,0,0,0,-,"930,000",-,0,0,0,0,0,0,0,0,0,0
2026/1/16,2026/1/20,7512,イオン北海道,東証,特定,信用新規,売建,一般,無期限,"1,000",930,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/10,2026/2/13,8125,ワキタ,東証,特定,現物,買付,-,-,300,"2,080.00",0,0,0,-,"624,000",-,0,0,0,0,0,0,0,0,0,0
2026/2/10,2026/2/13,8125,ワキタ,東証,特定,信用新規,売建,一般,無期限,300,"2,080.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,3048,ビックカメラ,東証,特定,現物,買付,-,-,100,"1,782.50",0,0,0,-,"178,250",-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,3048,ビックカメラ,東証,特定,信用新規,売建,一般,無期限,100,"1,782.50",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,3222,ユナイテッド・スーパーマーケ,東証,特定,現物,買付,-,-,400,996,0,0,0,-,"398,400",-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,3222,ユナイテッド・スーパーマーケ,東証,特定,現物,買付,-,-,100,991,0,0,0,-,"99,100",-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,3222,ユナイテッド・スーパーマーケ,東証,特定,信用新規,売建,一般,無期限,100,996,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,3222,ユナイテッド・スーパーマーケ,東証,特定,信用新規,売建,一般,無期限,300,996,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,3222,ユナイテッド・スーパーマーケ,東証,特定,信用新規,売建,一般,無期限,100,991,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,7630,壱番屋,東証,特定,現物,買付,-,-,100,928,0,0,0,-,"92,800",-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,7630,壱番屋,東証,特定,信用新規,売建,一般,無期限,100,928,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,東証,特定,現物,買付,-,-,100,"1,873.00",0,0,0,-,"187,300",-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,東証,特定,信用新規,売建,一般,無期限,100,"1,873.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,9948,アークス,東証,特定,現物,買付,-,-,100,"3,765.00",0,0,0,-,"376,500",-,0,0,0,0,0,0,0,0,0,0
2026/2/12,2026/2/16,9948,アークス,東証,特定,信用新規,売建,一般,無期限,100,"3,765.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/13,2026/2/17,3382,セブン＆アイ・ＨＬＤＧＳ,東証,特定,現物,買付,-,-,100,"2,402.00",0,0,0,-,"240,200",-,0,0,0,0,0,0,0,0,0,0
2026/2/13,2026/2/17,3382,セブン＆アイ・ＨＬＤＧＳ,東証,特定,信用新規,売建,一般,無期限,100,"2,402.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/13,2026/2/17,8016,オンワ－ドホールディングス,東証,特定,現物,買付,-,-,100,775,0,0,0,-,"77,500",-,0,0,0,0,0,0,0,0,0,0
2026/2/13,2026/2/17,8016,オンワ－ドホールディングス,東証,特定,信用新規,売建,一般,無期限,100,775,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2026/2/13,2026/2/17,9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,東証,特定,現物,買付,-,-,900,"1,851.00",0,0,0,-,"1,665,900",-,0,0,0,0,0,0,0,0,0,0
2026/2/13,2026/2/17,9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,東証,特定,信用新規,売建,一般,無期限,900,"1,851.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
